t0_green,t0_green_bkg,t0_red,t0_red_bkg,t0_flag,t0Point5_green,t0Point5_green_bkg,t0Point5_red,t0Point5_red_bkg,t0Point5_flag,t2_green,t2_green_bkg,t2_red,t2_red_bkg,t2_flag,t5_green,t5_green_bkg,t5_red,t5_red_bkg,t5_flag,t7_green,t7_green_bkg,t7_red,t7_red_bkg,t7_flag,t9_green,t9_green_bkg,t9_red,t9_red_bkg,t9_flag,t11Point5_green,t11Point5_green_bkg,t11Point5_red,t11Point5_red_bkg,t11Point5_flag,gal_ndt80_green,gal_ndt80_green_bkg,gal_ndt80_red,gal_ndt80_red_bkg,ndt80_delete_early_green,ndt80_delete_early_green_bkg,ndt80_delete_early_red,ndt80_delete_early_red_bkg,ndt80_delete_early_flag,ndt80_delete_mid_green,ndt80_delete_mid_green_green_bkg,ndt80_delete_mid_green_red,ndt80_delete_mid_green_red_bkg,ndt80_delete_mid_green_flag,t0_correlation,t0Point5_correlation,t2_correlation,t5_correlation,t7_correlation,t9_correlation,t11Point5_correlation,ndt80_delete_early_correlation,ndt80_delete_mid_correlation,t0_regression,t0Point5_regression,t2_regression,t5_regression,t7_regression,t9_regression,t11Point5_regression,ndt80_delete_early_regression,ndt80_delete_mid_regression,t0_g/r_ratio,t0Point5_g/r_ratio,t2_g/r_ratio,t5_g/r_ratio,t7_g/r_ratio,t9_g/r_ratio,t11Point5_g/r_ratio,ndt80_delete_early_g/r_ratio,ndt80_delete_mid_g/r_ratio,failed_pcr,overlaps_another_orf=yes,classification
1.846582,0.398791,2.131301,1.139237,-0.077298,2.748225,1.777086,0.58975,1.696246,-0.109644,1.477189,3.602948,0.413685,3.196591,-0.131356,2.588534,0.406274,1.8189,0.587248,-0.175538,0.553989,-0.50182,-0.246287,-0.477086,-0.149812,2.158582,-0.218208,0.413908,0.597254,-0.059347,4.492935,3.121532,1.284955,1.636987,-0.079046,0.467214,-0.579927,-0.262206,0.07607,2.544608,-0.770904,0.158879,-0.638205,-0.125017,4.16059,-0.205882,1.861095,-0.300325,-0.121633,0.826677,0.397574,0.490765,0.634942,0.620416,0.585266,0.134922,0.4573,0.455456,-0.118667,1.189406,1.180379,0.356091,0.792958,1.490634,0.826946,0.872255,0.170184,-0.896029,1.172391,1.139507,0.205695,0.679901,1.372865,0.81079,1.835706,0.856305,0.0,-0.310659,12.04.01
0.061927,0.569749,0.139144,0.668895,-0.077298,0.604383,0.310789,-0.181611,0.000385,-0.109644,-0.073821,0.708041,-0.196016,0.52763,-0.131356,0.427271,0.812899,0.185942,0.866099,-0.175538,-0.448727,-0.137467,-0.476636,-0.046124,-0.149812,-0.058914,0.718709,-0.116385,1.439229,-0.059347,-0.505689,-0.243269,-0.441767,-0.070146,-0.079046,-0.451563,-0.339426,-0.251376,-0.332142,1.18981,0.0802,-0.305635,-0.104578,-0.125017,1.377562,-0.506938,0.191463,-0.488339,-0.121633,0.654285,0.681402,0.040649,0.584487,0.548755,0.754043,0.352362,0.464723,0.508009,-0.019282,0.624325,-0.000156,0.135326,-0.213494,0.154711,-0.22792,0.999485,0.229121,-0.735837,0.545169,0.020078,0.076024,-0.21632,-0.072136,-0.217097,-0.589136,0.928838,0.0,-0.310659,01.07.04@01.20.19.01@14.07@14.10
-0.339444,-0.023767,-0.285521,-0.080713,-0.077298,0.093552,-0.369601,0.754093,-0.492882,-0.109644,-0.567517,-0.875719,-0.482062,-1.103402,-0.131356,-0.418099,0.005542,-0.597117,-0.409742,-0.175538,-0.623954,-0.527198,-0.719006,-0.502121,-0.149812,-0.467089,0.809145,-0.427326,0.91738,-0.059347,-0.684286,-0.253662,-0.60761,-0.263406,-0.079046,-0.734275,0.353933,-0.625014,0.256364,-0.15318,0.220184,-0.201456,0.084144,-0.125017,-0.601753,-0.057996,-0.780911,-0.229009,-0.121633,0.792199,0.593317,-0.832026,0.500395,0.364486,-2.289383,-1.012259,0.442456,0.13263,0.260805,-0.521309,-0.623008,0.281189,0.283342,-0.83144,0.015197,-0.177393,-0.012044,-0.68244,-0.543023,-0.52077,0.02045,0.243087,-0.473007,0.153313,-0.545445,-0.237271,0.0,-0.310659,20.09.07.03
-0.339444,0.727805,-0.292097,0.753409,-0.077298,-0.140783,0.459966,0.024622,0.244981,-0.109644,-0.117307,2.538453,-0.033693,2.572273,-0.131356,0.404718,1.802943,0.588316,1.958586,-0.175538,-0.304187,-0.084898,0.157664,0.116604,-0.149812,-0.271227,0.212268,0.190644,0.948077,-0.059347,-0.428805,0.796052,-0.244516,0.78112,-0.079046,-0.202891,-0.265229,0.329638,-0.304928,0.096368,-0.003791,0.246716,0.051606,-0.125017,0.371736,-0.406586,0.977085,-0.384607,-0.121633,0.275022,0.544381,-0.400282,0.702216,0.262114,0.715932,0.344864,0.397923,0.545547,0.039446,-0.338105,-0.411213,-0.218491,-0.630453,-0.673052,-0.607347,-0.307463,-0.294306,-0.629043,-0.384328,-0.382414,-0.350039,-0.668197,-0.789975,-0.680109,-0.818513,-0.348861,0.0,-0.310659,11.02.03.01.07@11.04.02@11.04.03.01@11.04.03.05@16.03.03
-0.650725,0.463303,-0.622278,0.566007,-0.077298,-0.6785,0.783788,-0.739086,0.624103,-0.109644,-0.618678,0.331574,-0.462761,0.613473,-0.131356,-0.461496,0.951388,-0.277962,0.953957,-0.175538,-0.617154,0.248639,-0.597556,0.155945,-0.149812,-0.472676,0.66083,-0.413311,0.790206,-0.059347,-0.654968,0.162067,-0.546936,0.233549,-0.079046,-0.673175,-0.551783,-0.595933,-0.52094,-0.666444,-0.160573,-0.169999,-0.31933,-0.125017,-0.365071,-0.464684,0.097159,-0.293842,-0.121633,-0.504192,0.475871,-0.923887,-0.718941,0.067607,-0.117063,-1.717063,0.397923,0.56807,-0.064457,-0.271338,-0.886184,-0.781246,-0.394017,-0.509951,-0.549365,-0.567035,-0.362801,0.011723,-0.210519,-0.734594,-0.748314,-0.382008,-0.528943,-0.254138,-0.468986,-0.605516,0.0,-0.310659,10.03.01.01.11@10.03.04.09@42.04.05
2.968,-0.236658,5.011898,0.4227,-0.077298,0.014117,-0.009394,6.726406,0.78309,-0.109644,1.052132,0.3835,7.44208,0.41057,-0.131356,1.222411,0.035008,7.573431,0.254918,-0.175538,0.935303,-0.351366,4.203711,-0.094406,-0.149812,2.654601,-0.887435,3.085259,-0.670094,-0.059347,4.49473,0.250409,3.248425,0.406103,-0.079046,-0.854481,0.323231,-0.672145,0.42305,0.221141,0.024206,7.856661,0.734909,-0.125017,0.26831,0.216651,5.052591,0.639745,-0.121633,0.799095,0.779273,0.711231,0.592896,0.620416,0.334823,0.577299,0.397923,0.575577,-1.329364,-0.977283,-1.126803,-0.940907,-0.767043,-0.319509,-0.164852,-0.759016,-0.47972,-2.391151,-1.019107,-1.275442,-1.016919,-0.818822,-0.398427,-0.244877,-1.16804,-0.800798,0.0,-0.310659,01.05.06.07@01.07.01@02.16.13@02.45@42.01
-0.680306,0.26654,-0.655849,0.2206,-0.077298,-0.811707,0.700104,1.528677,0.416197,-0.109644,-0.667706,-0.194183,-0.528581,-0.268376,-0.131356,-0.567423,0.158763,-0.0044,0.323676,-0.175538,-0.652723,-0.304235,1.376056,0.209591,-0.149812,-0.427668,0.917669,0.27995,4.022162,-0.059347,-0.668131,-0.032806,-0.061303,-0.14607,-0.079046,-0.792384,1.326171,0.224345,0.839767,-0.623541,0.365767,-0.561792,0.175251,-0.125017,-0.681483,0.7501,-0.597129,0.620296,-0.121633,0.150899,0.113746,-0.877956,0.079934,0.425909,-5.909916,0.239893,0.286589,0.282782,-0.100597,-1.067663,-0.832296,-0.967517,-0.985108,-1.168013,-1.095616,-0.279063,-0.397526,-0.201865,-1.079562,-0.772327,-0.989132,-1.022166,-0.995072,-1.1246,-1.626794,-0.326543,0.0,-0.310659,20.01.01.07@20.03
0.878787,-0.488257,1.226939,-0.080713,-0.077298,1.517892,1.518756,-0.001157,1.443498,-0.109644,1.11992,0.136849,-0.075759,-0.775635,-0.131356,1.57573,-0.082855,0.318296,0.159421,-0.175538,0.782917,-0.106651,-0.335739,-0.183817,-0.149812,1.081806,-0.760824,-0.192654,-0.845505,-0.059347,3.503023,0.060733,0.262294,-0.169077,-0.079046,-0.544709,-0.272904,-0.092134,0.562523,3.372366,1.071287,0.044895,0.019068,-0.125017,1.858173,0.797635,-0.415946,-0.008579,-0.121633,0.688764,0.13332,0.610184,0.34062,-0.106425,0.677821,0.734755,-0.158745,0.230229,-0.349061,1.308285,1.966149,1.296317,1.186753,2.142097,2.500288,1.369815,1.326312,-1.216412,1.285745,1.655199,1.076344,1.395372,1.922897,2.172044,-0.884049,1.492364,0.0,-0.310659,01.03.01.03
-0.163298,-0.494709,0.031853,-0.235044,-0.077298,-0.039044,0.481797,0.144657,0.497729,-0.109644,0.317556,0.759968,-0.148507,0.106215,5.591134,0.419412,0.759861,0.409926,1.011255,-0.175538,-0.197656,-0.244416,-0.240983,-0.187394,-0.149812,-0.062949,-1.140656,-0.222314,-1.459445,-0.059347,0.692438,0.27899,0.001751,0.389998,-0.079046,-0.73399,-0.065664,-0.621003,0.035249,0.599792,0.208985,0.639735,0.188267,-0.125017,0.041385,0.290595,0.530068,0.114603,-0.121633,0.592224,0.563956,0.435649,0.298574,0.344011,0.541711,0.509818,0.041655,0.365365,-0.647218,-0.272966,1.644071,-0.063758,-0.174354,0.057604,0.600104,-0.318823,-0.317562,-1.26981,-0.361657,0.598659,-0.164794,-0.253977,-0.044168,0.505202,-0.545445,-0.304225,0.0,-0.310659,01.04@10.03.01@10.03.03@14.07.03
-0.385161,-0.217304,-0.399043,-0.448168,-0.077298,-0.313708,-0.566078,-0.291978,-0.647792,-0.109644,-0.562401,-0.616086,-0.611227,-0.931715,-0.131356,-0.238706,0.111618,-0.091161,0.338956,-0.175538,-0.423446,-0.224477,-0.347584,-0.151629,-0.149812,-0.344171,0.928521,-0.253603,1.851446,-0.059347,-0.585863,-0.131542,-0.489593,-0.072447,-0.079046,-0.455266,0.200422,-0.305527,-0.259004,-0.276773,-0.076583,0.295333,-0.189177,-0.125017,-0.6274,0.200806,-0.656162,-0.164177,-0.121633,0.40604,0.426935,0.251928,0.500395,0.026659,0.253157,0.254889,0.397923,0.117615,0.165937,-0.251796,-0.102921,-0.346613,-0.364462,-0.377961,-0.28692,-0.584643,-0.271687,-0.148468,-0.278531,-0.156012,-0.433399,-0.419665,-0.389104,-0.33748,-0.556368,-0.532983,0.0,3.218089,01.06@10.01.09.05
0.626334,-0.665667,1.244936,0.047896,-0.077298,0.454984,-0.336855,-0.316549,-0.240133,-0.109644,0.613433,1.428522,1.38515,2.13525,-0.131356,0.286148,0.208855,0.467914,0.254918,-0.175538,0.574911,0.156191,0.486128,0.606577,-0.149812,1.476634,-0.525691,0.721915,-0.130704,-0.059347,2.702178,-0.009421,0.513081,-0.095454,-0.079046,0.02399,0.676307,0.205894,1.067685,-0.018566,0.466556,1.284009,0.403019,-0.125017,0.075117,0.961367,-0.248871,0.730511,-0.121633,0.323292,0.231192,0.2703,0.449939,0.661364,0.645155,0.614789,0.1233,0.252752,-1.342917,0.846612,-0.572879,-0.26974,-0.208702,0.379093,1.011065,-0.598275,-0.03976,-1.857179,0.658523,-0.659127,-0.350039,-0.238914,0.244832,0.949693,-0.272378,-0.627834,0.0,-0.310659,10.01.09.05@11.02.03.04@16.03.01
-0.658456,-0.488257,-0.561018,-0.301186,-0.077298,-0.492437,-0.569716,0.543428,-0.42358,-0.109644,-0.184668,-0.797829,0.154364,-0.900499,-0.131356,-0.364794,-0.969769,0.36389,-1.231016,-0.175538,-0.167667,-0.182784,0.43486,0.000369,-0.149812,-0.415252,0.414844,-0.252625,1.285744,-0.059347,-0.436284,-0.42515,-0.399652,-0.481975,-0.079046,0.242184,0.932159,0.099398,0.266569,-0.55466,0.231382,0.362334,0.650309,-0.125017,-0.603425,-0.697078,0.162875,0.036804,-0.121633,0.468101,0.436722,0.481579,0.845172,0.671601,0.5526,0.68227,0.019388,0.1026,-0.059939,-0.760695,-0.529016,-0.711271,-0.632051,-0.423215,-0.150611,-0.649394,-0.452959,-1.056221,-0.7924,-0.633971,-0.831674,-0.675728,-0.575556,-0.291179,0.077149,-0.66689,0.0,3.218089,01.06.02.01@20.03
-0.856116,-0.488257,-0.805019,-0.43347,-0.077298,-0.865173,-0.715254,-0.625899,-0.472499,-0.109644,-0.750416,-0.466798,-0.571636,-0.62736,-0.131356,-0.734515,-0.610289,-0.566131,-1.089681,-0.175538,-0.702588,-0.34774,-0.445699,0.005734,-0.149812,-0.570763,0.176093,-0.456986,0.908609,-0.059347,-0.686978,-0.360192,-0.588813,-0.456667,-0.079046,-0.771732,0.535588,-0.784056,0.008035,-0.832547,0.51695,-0.273769,0.350958,-0.125017,-0.818362,-0.602008,-0.535126,0.257234,-0.121633,-2.379822,0.505233,0.141695,0.273346,-0.751367,-0.661504,-0.209982,0.175255,-0.085089,-1.591381,-0.698813,-0.950099,-0.839394,-0.719117,-0.598573,-0.279799,-0.701081,-0.48641,-0.415454,-0.686604,-0.973573,-0.915035,-0.766103,-0.622169,-0.34674,0.208222,-0.717106,0.0,-0.310659,01.01.06.05@01.05.13.03@11.06.02@12.04.01@12.10
-0.448358,-0.372135,-0.403542,-0.411422,-0.077298,-0.303625,-0.675231,0.034692,-0.594797,-0.109644,-0.445159,-0.836774,-0.304892,-0.66638,5.591134,-0.193601,0.61548,0.285097,1.015075,4.534732,-0.396944,0.5713,-0.244166,0.358014,5.689715,-0.415563,0.581247,-0.345516,1.040168,-0.059347,-0.535903,-0.300431,-0.456757,-0.300218,-0.079046,-0.505542,-0.285697,-0.616591,-0.478418,-0.442481,0.041004,0.314534,0.019068,-0.125017,-0.610116,-0.211164,-0.005685,-0.203076,-0.121633,0.619807,0.44651,0.481579,0.113571,-0.126899,-0.28584,-0.105011,0.397923,0.417918,-0.181912,-0.439885,-0.48014,-0.632426,-0.570545,-0.41473,-0.33066,-0.567035,-0.449136,-0.575646,-0.490124,-0.495614,-0.692741,-0.555227,-0.435717,-0.33748,0.339294,-0.611096,0.0,-0.310659,11.02.01@11.02.03.01
1.596818,-0.555995,2.989284,-0.194624,-0.077298,1.172347,-0.555162,4.261271,-0.395044,-0.109644,0.964733,0.967674,5.0201,1.066104,-0.131356,0.52158,-0.038656,4.92856,0.430633,-0.175538,0.774025,0.223261,4.125219,0.628035,-0.149812,1.95465,-1.194917,3.929426,-0.819193,-0.059347,3.499732,-0.191302,3.606761,0.178331,-0.079046,0.105742,0.435806,0.980646,0.734312,3.54634,0.404963,6.011677,0.520157,-0.125017,2.72043,0.755381,2.392764,0.976874,-0.121633,0.530162,0.622679,0.389719,0.458349,0.272351,0.623377,0.667274,0.071344,0.410411,-1.473925,-0.6809,-1.026545,-0.945835,-0.814171,-0.555205,-0.41509,-0.473884,-0.115901,-2.391151,-0.739502,-1.162241,-1.026181,-0.848947,-0.706072,-0.504164,-0.851281,-0.505086,0.0,-0.310659,01.05@01.06.10@01.07@43.01.03.06
-0.774766,-0.910815,-0.623316,-0.753155,-0.077298,-0.852036,-0.573354,-0.817632,-0.337972,-0.109644,-0.677086,0.714532,-0.5751,0.894417,-0.131356,-0.599201,0.403328,-0.578525,0.411533,-0.175538,-0.722116,-0.364055,-0.402387,-0.278593,-0.149812,-0.562072,-1.375789,0.08113,-0.977064,-0.059347,-0.425215,-0.575851,0.275856,-0.258805,-0.079046,-0.751223,-0.07334,-0.576078,0.273372,-0.458619,-0.143775,-0.007807,0.136205,-0.125017,-0.63186,0.290595,-0.179814,0.801827,-0.121633,0.3095,0.015874,0.040649,-1.215085,-0.761605,0.509044,0.487324,0.1901,0.35035,-1.13511,-0.380446,-0.827283,-0.636368,-0.859701,-0.862552,-0.859619,-0.476724,-0.43257,-2.01737,-0.414555,-0.772327,-0.581594,-0.848947,-0.98575,-0.930135,-0.709286,-0.521824,0.0,-0.310659,01.05.25@11.02.03.04.01
-0.562315,-0.943071,-0.40285,-0.727434,-0.077298,-0.79582,-0.758916,-0.281506,-0.562184,-0.109644,-0.433222,0.850839,-0.145538,1.144144,-0.131356,-0.403065,0.70093,-0.334622,0.656006,-0.175538,-0.518469,-0.369493,-0.506689,-0.248193,-0.149812,-0.29699,-1.364937,-0.430911,-1.336657,-0.059347,0.080361,-0.497902,-0.280206,-0.40375,-0.079046,-0.538584,-0.109159,-0.54078,0.355015,-0.361398,-0.087781,1.2023,0.149221,-0.125017,-0.485781,-0.005179,0.418313,0.801827,-0.121633,0.585328,0.436722,0.371347,0.037888,0.436146,0.530822,0.539809,0.145566,0.312812,-0.665288,-0.751739,-0.725772,-0.428415,-0.247841,0.199964,0.449554,-0.664161,-0.444357,-1.430001,-0.784843,-0.772327,-0.507497,-0.299164,0.123638,0.412599,0.284681,-0.694788,0.0,-0.310659,10.01.02@10.01.03.03@16.19.03
