cln3-1,cln3-2,clb2-2,clb2-1,alpha0,alpha7,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha91,alpha98,alpha105,alpha112,alpha119,cdc15_10,cdc15_30,cdc15_50,cdc15_70,cdc15_80,cdc15_90,cdc15_100,cdc15_110,cdc15_120,cdc15_130,cdc15_140,cdc15_150,cdc15_160,cdc15_170,cdc15_180,cdc15_190,cdc15_200,cdc15_210,cdc15_220,cdc15_230,cdc15_240,cdc15_250,cdc15_270,cdc15_290,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_110,cdc28_120,cdc28_130,cdc28_140,cdc28_150,cdc28_160,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390,classification,id
0.0,-0.3,-0.51,-0.18,0.0,0.03,0.05,-0.14,-0.09,-0.16,0.27,-0.05,0.24,0.09,0.23,-0.42,0.05,-0.16,0.17,0.12,-0.16,-0.05,?,0.13,-0.02,0.14,0.21,-0.74,0.12,0.4,0.08,0.17,-0.25,-0.04,-0.12,-0.02,-0.09,0.16,0.28,-0.05,0.31,0.17,0.27,-0.41,-0.32,-0.36,0.09,-0.35,-0.13,-0.25,0.32,-0.48,-0.08,0.4,0.12,0.73,0.08,-0.15,-0.11,?,-0.02,-0.25,0.09,0.04,-0.06,-0.19,0.42,0.1,-0.07,0.27,-0.12,0.08,-0.24,-0.44,0.19,-0.33,0.35,11.02.03.01.07@11.04.02@11.04.03.01@11.04.03.05@16.03.03,10
0.08,-0.45,-0.71,-0.36,-0.2,-0.67,0.29,-0.23,0.05,-0.26,0.22,-0.08,0.18,-0.05,0.59,0.05,-0.09,-0.16,0.14,0.22,-0.01,0.01,?,0.27,0.26,-0.11,-0.13,0.03,-0.04,0.02,-0.3,0.03,-0.38,0.02,-0.09,-0.16,0.29,0.02,-0.14,-0.21,-0.08,0.46,0.2,0.18,-0.01,-0.13,-0.26,0.17,0.46,-0.19,-0.14,-0.35,0.1,-0.22,-0.15,0.37,-0.05,-0.02,0.0,0.19,?,0.18,-0.09,-0.05,-0.01,-0.4,-0.05,0.17,-0.01,-0.24,0.11,0.44,0.31,0.09,-0.21,-0.12,-0.03,10.03.01.01.11@10.03.04.09@42.04.05,11
1.02,-1.25,-0.22,?,0.0,0.29,0.25,0.27,0.2,0.07,0.27,0.23,0.02,-0.36,-0.2,-0.32,0.17,-0.66,0.08,-0.18,-0.26,0.14,-0.37,-0.13,-0.22,-0.33,0.77,-0.75,-0.37,-0.51,0.66,-0.44,0.6,-0.55,0.92,-1.06,0.67,?,0.84,-0.75,0.67,0.72,1.36,-0.6,-0.44,-0.68,1.33,-0.29,0.2,0.08,-0.06,-0.42,-0.2,-0.39,-0.36,0.56,-0.04,0.18,0.0,-0.23,-0.38,?,?,-1.5,0.41,-0.5,-0.22,-1.35,-1.39,-0.39,0.68,1.11,0.77,-0.33,0.85,1.17,0.68,01.05.06.07@01.07.01@02.16.13@02.45@42.01,12
-0.81,-0.79,-0.14,0.03,0.12,-0.73,-0.9,-0.32,0.03,0.19,0.31,0.23,0.1,0.36,-0.34,0.24,-0.07,0.06,-0.23,0.36,0.16,0.44,1.2,1.32,0.74,0.07,0.27,-0.06,0.07,0.15,-0.53,-0.04,0.12,-0.25,-0.27,-0.67,-0.31,?,-0.15,-0.07,-0.19,0.28,-0.25,-0.24,-0.71,-0.48,-0.81,0.39,0.71,-0.18,0.21,-0.15,0.51,0.22,-0.19,0.36,-0.34,-0.28,-0.43,?,0.18,-0.21,0.04,-0.88,-0.08,?,-0.08,1.2,0.58,0.02,0.12,-0.08,-0.06,0.16,-0.48,-0.41,-0.01,12.01@42.01,13
-0.34,-1.12,-0.67,0.24,-0.39,0.97,0.28,-0.06,-0.29,-0.53,-0.27,-0.31,-0.25,0.34,0.05,0.07,-0.27,-0.17,0.02,0.37,0.26,0.19,-0.85,-0.41,-0.64,-0.56,0.53,-0.73,0.42,-0.6,0.43,-0.37,0.61,-0.39,0.73,-0.56,0.61,?,0.29,-0.68,0.35,0.36,1.49,-0.03,-0.03,0.03,-0.18,-0.43,-0.1,-0.38,-0.36,-0.12,-0.16,-0.12,0.09,0.91,0.35,0.25,0.19,0.22,-0.06,-0.25,0.15,1.57,0.13,?,0.67,-0.61,-0.71,-0.85,-0.29,-0.09,-0.68,-1.39,0.5,0.68,1.07,01.05@02.16,14
-0.89,-0.94,0.77,-0.04,0.0,-0.03,0.0,0.05,-0.13,-0.32,0.04,-0.08,-0.29,0.15,-0.15,0.27,0.1,-0.29,0.0,0.6,0.15,-0.04,?,?,?,-0.27,0.53,-0.51,0.2,-0.27,0.41,-0.33,0.07,-0.38,-0.07,-0.27,0.02,?,0.0,-0.31,0.66,0.33,0.49,-0.3,?,?,1.61,1.46,1.3,0.46,0.72,-0.03,-0.05,-0.43,-0.34,-0.43,-0.48,-0.38,-0.43,-0.03,-1.24,-0.57,-1.16,1.03,0.25,?,0.5,-0.06,-0.26,0.02,-0.26,-0.11,-0.08,-0.76,-0.12,-0.09,-0.08,01.01.03.02.01@01.01.03.02.02@01.02@02.10@42.01,15
-0.15,-1.25,?,0.07,0.01,0.07,0.17,?,-0.1,0.08,0.64,0.39,0.33,-0.18,-0.54,-0.2,-0.04,-0.54,0.29,-0.46,0.06,0.03,-0.48,0.24,1.09,1.0,1.83,-0.66,0.25,-1.1,-0.1,-0.58,0.04,?,0.99,-0.48,1.05,-0.87,0.58,-1.18,0.61,0.1,0.47,-1.26,-0.9,-0.63,0.53,-0.08,-0.25,1.95,2.39,1.68,0.38,-0.19,-0.51,-0.02,-1.02,-0.83,0.08,-1.66,-0.37,-1.83,-0.25,-0.2,0.05,0.03,0.29,0.32,0.09,0.14,-0.05,0.14,-0.16,0.12,-0.09,-0.29,-0.39,20.01.01.07@20.03,16
-1.29,-0.64,0.21,0.07,0.0,0.39,0.06,-0.2,-0.33,-0.63,-0.3,-0.21,0.51,0.13,-0.12,0.09,-0.23,-0.01,0.17,0.46,0.17,0.04,?,?,?,-0.64,-0.35,-0.53,0.39,-0.06,0.29,-0.05,-0.3,-0.25,-0.05,-0.18,-0.02,?,-0.04,0.09,0.56,0.49,0.39,0.25,?,?,-0.13,-0.29,0.38,0.41,0.63,-0.15,0.21,0.11,-0.36,0.05,-0.34,-0.15,-0.13,?,-0.05,-0.22,0.04,-0.13,0.07,?,0.09,0.25,-0.5,-0.21,-0.04,0.02,0.26,-0.02,0.34,-0.01,-0.14,01.03.01.03,17
0.26,-0.29,0.03,0.57,0.18,0.03,0.0,0.26,-0.1,0.05,0.28,0.28,0.4,-0.3,-0.2,-0.07,-0.02,-0.16,0.07,-0.14,-0.2,-0.36,?,?,-0.49,-0.44,0.25,-0.7,0.34,-0.04,0.51,-0.33,0.13,-0.12,-0.02,0.1,0.37,?,0.15,-0.39,0.8,0.03,0.35,-0.49,?,?,0.55,-0.29,-0.29,-0.01,0.13,-0.81,-0.21,0.29,0.16,0.45,0.17,0.25,0.17,-0.61,0.04,?,?,0.62,0.15,0.0,0.15,0.03,-0.38,-0.02,-0.19,-0.41,0.31,-0.13,-0.06,-0.25,0.19,01.04@10.03.01@10.03.03@14.07.03,18
1.56,0.96,-0.38,-0.34,-0.04,-0.28,0.17,-0.26,0.12,-0.17,0.04,0.3,-0.04,0.21,0.04,0.27,-0.23,-0.02,-0.04,0.15,-0.1,-0.1,?,0.23,-0.02,0.05,0.22,0.14,-0.28,0.41,0.04,0.19,-0.56,-0.06,-0.23,0.11,-0.36,0.05,0.15,-0.23,0.14,0.33,-0.08,0.33,-0.23,-0.34,1.01,-0.38,-0.5,0.44,-0.76,-2.08,0.01,-0.27,0.38,0.62,0.92,0.5,0.01,0.87,0.31,-1.08,0.01,0.37,-0.12,-0.63,-0.33,-0.4,-0.18,-0.33,-0.17,0.37,0.32,0.07,0.65,-0.05,0.43,01.06@10.01.09.05,19
1.3,1.47,-0.3,-0.51,-1.61,-2.55,-1.09,-0.55,0.98,1.14,0.9,0.43,-0.41,-0.38,-1.18,-0.16,0.77,1.27,1.17,1.3,0.05,-0.09,-1.29,-0.83,1.26,1.49,1.03,0.13,-0.64,-1.33,-1.91,-1.12,-0.31,1.11,1.24,1.79,1.33,0.85,0.3,0.06,-0.44,-1.15,-0.83,-0.81,-0.19,0.28,-0.82,-1.21,0.32,0.46,0.96,-0.53,0.09,-0.28,-0.78,-0.09,0.3,?,0.15,0.43,0.85,0.3,-0.14,-1.63,-0.68,0.04,-0.94,-0.34,0.43,0.55,1.03,0.81,0.54,0.39,0.45,-0.06,-0.59,10.01.09.05@11.02.03.04@16.03.01,20
0.43,0.08,-0.32,0.01,-0.48,-0.51,0.08,0.07,0.0,0.04,0.1,0.0,-0.05,0.12,-0.24,0.21,-0.16,0.0,0.0,0.47,0.32,0.04,0.28,0.27,-0.1,-0.02,0.0,0.17,-0.37,-0.16,-0.34,-1.83,0.1,1.1,-0.06,0.92,0.06,0.39,0.11,0.11,-0.02,0.17,0.79,0.22,0.18,-1.98,-0.74,-0.08,0.19,-0.25,0.27,-0.04,0.22,0.03,-0.01,0.07,0.12,-0.07,0.12,0.25,?,0.12,-0.2,-0.83,-0.77,-0.51,-0.56,-0.31,0.25,0.13,0.56,0.45,0.44,0.12,0.37,0.58,0.08,01.06.02.01@20.03,21
0.3,?,?,-0.3,-0.24,0.26,0.07,-0.11,-0.17,-0.11,-0.15,0.36,-0.15,0.19,-0.22,0.04,-0.28,0.13,-0.13,-0.13,0.26,0.37,0.17,0.26,0.38,-0.25,1.07,-0.39,0.4,-0.02,0.21,-0.49,-0.02,?,-0.39,0.16,0.04,-0.88,-0.18,0.4,0.36,-0.2,0.94,-0.68,-0.46,-0.44,1.29,-1.03,0.29,0.55,-1.03,?,?,?,-2.03,?,?,?,?,?,?,1.67,0.29,-0.2,-0.2,-0.22,-0.26,-0.28,0.18,-0.12,0.45,0.28,0.02,-0.09,0.31,-0.12,0.27,01.01.06.05@01.05.13.03@11.06.02@12.04.01@12.10,22
0.21,-0.34,-0.45,-0.01,-0.01,-0.7,-0.34,-0.45,-0.25,0.0,0.29,0.41,-0.05,0.05,-0.23,0.12,-0.08,0.37,-0.1,0.1,0.48,0.38,?,0.62,?,-0.1,0.34,-0.24,0.39,0.1,0.07,-0.15,?,0.09,0.03,-0.1,0.13,-0.1,-0.05,-0.59,0.34,0.44,0.09,-0.53,-0.28,-0.53,0.02,0.24,-0.23,-0.18,0.39,-0.13,0.27,0.13,0.0,-0.1,-0.14,-0.13,-0.04,?,-0.02,0.07,-0.17,-0.46,-0.15,-0.21,0.27,0.27,0.41,-0.07,-0.09,0.04,0.19,-0.13,-0.07,0.06,-0.09,11.02.01@11.02.03.01,23
0.83,-0.76,-0.22,1.14,-0.26,-0.04,0.06,-0.2,-0.01,0.03,-0.01,-0.18,-0.18,0.41,-0.2,0.32,0.2,0.08,-0.04,0.4,-0.42,0.03,-0.85,-0.31,-0.54,-0.3,0.73,-0.68,0.42,-0.68,0.43,-0.11,0.32,-0.46,0.15,-0.25,0.79,?,-0.06,-0.56,0.42,0.69,1.18,-0.21,-0.14,0.02,0.24,-0.65,-0.22,0.06,0.51,-0.12,-0.33,-0.11,0.0,0.32,0.23,0.23,0.16,?,-0.17,-0.21,0.04,-0.82,-0.17,-0.16,-0.11,-0.76,-0.54,-0.31,0.57,0.66,0.41,-0.16,0.52,0.66,0.21,01.05@01.06.10@01.07@43.01.03.06,24
0.36,-0.49,-0.1,0.21,-0.34,-0.27,-0.06,0.21,-0.48,0.29,0.15,0.33,-0.04,0.35,-0.46,0.24,0.13,-0.06,-0.67,0.47,-0.13,0.33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.77,?,?,-0.77,?,?,-0.25,-0.09,0.34,-0.01,0.16,-0.11,-0.22,0.02,-0.22,-0.09,-0.01,0.04,-0.02,?,0.01,0.27,0.17,-0.53,-0.13,-0.2,0.04,0.08,-0.01,0.22,0.23,0.05,0.08,0.04,0.12,-0.36,0.37,01.05.25@11.02.03.04.01,25
0.29,-0.38,0.51,1.18,-0.32,-0.24,0.31,0.11,-0.67,-1.01,-0.56,0.13,0.33,1.08,0.61,0.69,0.14,-0.39,-0.67,0.22,-0.37,0.6,0.09,0.22,-0.5,-0.97,-0.47,-0.64,0.79,0.13,1.0,-0.05,0.33,-0.41,0.04,-0.5,0.22,?,0.13,-0.31,0.23,1.01,0.73,-0.27,-0.04,-0.79,-1.04,0.13,0.51,-0.44,-0.88,-0.32,0.21,0.95,1.07,0.47,0.38,0.01,-0.13,-0.78,-0.13,?,?,-0.91,-0.6,0.09,0.34,0.17,0.21,0.29,0.28,0.11,0.31,0.13,0.25,-0.62,-0.05,10.01.02@10.01.03.03@16.19.03,26
-0.54,-0.29,-0.04,-0.27,0.17,-0.31,-0.22,-0.61,0.05,-0.18,0.19,0.16,0.15,-0.1,0.08,-0.02,-0.01,-0.01,0.08,0.46,-0.12,0.25,?,?,?,-0.19,0.62,-0.22,0.67,-0.31,0.22,-1.78,-0.03,-0.42,0.16,-0.01,0.24,?,0.33,-0.04,0.17,0.69,0.17,-0.28,?,?,0.26,-0.3,-0.21,-0.17,0.57,-0.14,0.28,0.16,-0.22,0.18,-0.19,-0.06,-0.27,-0.11,0.26,-0.07,0.02,-0.01,-0.07,-0.26,1.18,0.01,-0.11,-0.18,0.11,0.03,-0.17,-0.17,0.11,-0.26,-0.2,11.04.01@11.04.03.01,27
-0.71,-0.07,0.04,0.21,0.1,-0.79,-0.69,-0.29,-0.31,-0.03,0.11,0.48,0.08,0.07,-0.23,0.07,-0.03,0.28,0.21,0.21,0.44,0.33,?,0.85,0.51,-0.09,0.1,0.13,0.54,0.05,-0.51,0.17,?,0.19,-0.55,-0.29,-0.26,0.29,-0.24,0.1,-0.91,0.59,-0.89,0.02,-0.15,0.36,-0.35,-0.25,0.12,-0.25,0.33,-0.47,0.19,0.1,-0.24,0.56,-0.26,0.12,-0.22,0.21,?,-0.05,0.45,-0.73,0.02,0.04,0.59,0.72,0.74,0.19,0.02,-0.2,-0.14,0.18,-0.38,-0.6,-0.45,34.11.03.07,28
0.41,-0.56,-0.58,-0.29,0.15,0.03,-0.41,-0.05,0.06,-0.14,-0.02,0.19,-0.01,0.0,0.12,0.03,-0.19,-0.19,0.41,-0.02,0.07,-0.01,?,0.15,0.27,-0.01,0.56,-0.4,0.25,-0.42,0.06,-0.15,0.69,-0.25,0.4,-0.08,0.36,-0.67,0.37,-0.67,0.6,0.29,0.75,-0.69,-0.64,-0.78,-0.48,0.04,0.71,0.13,0.37,0.52,0.2,0.09,-0.34,-0.26,-0.03,0.0,0.29,?,-0.36,-0.28,-0.6,1.57,-0.52,0.04,0.05,0.15,0.22,0.12,-0.28,0.16,0.01,-0.2,-0.28,-0.47,-0.56,42.04.05,29
0.45,-0.32,-0.81,-0.12,-0.39,-0.58,1.08,1.21,0.52,-0.33,-0.58,-0.08,-1.02,0.51,0.11,0.34,0.39,0.1,-0.47,-0.05,-0.53,-0.24,?,1.7,1.5,-1.44,-0.62,-2.06,?,-1.62,-0.2,?,1.22,1.48,0.87,1.44,0.09,-1.62,-0.13,-2.35,0.03,-0.13,0.65,0.45,0.5,0.23,-0.52,0.75,1.63,0.29,-0.06,-0.36,-0.5,-0.9,-0.65,0.86,1.06,0.59,0.16,?,-0.54,-0.88,-0.94,-0.59,-0.72,-0.3,0.25,0.79,0.7,0.59,0.36,0.12,0.31,-0.2,-0.47,-0.59,-0.24,10.01.03.03@10.01.03.05,30
-0.45,0.32,-0.07,-1.69,0.07,-0.02,-0.01,-0.13,0.09,-0.32,0.07,-0.04,-0.13,-0.32,-0.01,0.06,0.1,0.01,0.21,0.28,-0.02,0.09,?,?,?,-0.31,0.53,-0.5,0.19,-0.56,0.33,-0.37,0.4,-0.03,0.64,-0.18,-0.08,?,-0.15,-0.31,0.2,0.05,0.42,-0.26,?,?,0.21,-0.58,0.13,0.19,0.05,-0.45,0.3,-0.16,-0.13,0.2,0.12,0.11,?,0.01,0.5,-0.32,-0.16,-0.06,-0.17,-0.22,0.19,0.15,-0.27,-0.13,-0.02,0.17,0.04,-0.2,0.24,0.24,0.04,14.04@16.02@20.09.07,31
0.72,-0.94,0.75,?,0.1,0.38,0.28,?,-0.39,?,0.12,0.1,-0.15,0.27,-0.14,0.01,-0.06,-0.32,?,0.35,-0.59,0.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.02,-1.06,-1.55,-0.81,-0.14,-0.58,-0.03,0.24,0.14,0.47,0.35,0.4,0.75,0.69,1.15,?,?,-1.41,0.26,-6.22,0.93,0.51,0.51,0.32,0.88,0.92,0.92,0.19,0.97,0.53,0.71,42.01,32
-0.58,-0.18,0.2,0.01,0.06,-0.07,0.07,-0.27,-0.17,-0.48,-0.04,0.03,-0.01,0.06,0.27,0.25,-0.01,-0.19,0.18,0.28,-0.15,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.26,-0.89,-0.3,-0.6,0.28,-0.49,0.04,0.07,-0.04,0.58,0.38,0.4,?,-0.07,-0.08,-0.03,0.49,0.61,0.1,-0.01,0.13,-0.53,-0.48,-0.51,-0.04,0.1,0.04,-0.37,0.53,0.34,0.09,16.01@20.01.10@20.09.07.03@20.09.16@20.09.18@42.25,33
-0.56,0.08,-0.22,0.08,-0.16,-0.2,0.23,-0.09,-0.14,-0.28,0.15,-0.01,0.2,0.05,0.25,0.05,-0.05,-0.3,0.0,-0.05,0.38,-0.03,?,-0.21,-0.23,-0.15,-0.5,0.02,-0.28,0.08,-0.5,0.0,-0.41,0.17,-0.5,0.04,-0.23,0.13,-0.7,0.19,-0.01,0.89,0.17,0.88,0.46,0.66,-0.14,-0.29,-0.52,-0.6,-0.06,-0.45,-0.01,-0.11,-0.1,0.84,0.4,0.29,-0.05,?,0.16,0.15,0.48,0.21,-0.19,-0.18,-0.53,-0.3,0.0,-0.45,0.28,0.21,-0.05,-0.05,0.38,0.36,0.3,02.19@10.03.01@10.03.02@12.07@14.13.01.01@43.01.03.05@43.01.03.09,34
-0.09,0.14,-0.69,-0.2,0.15,-0.07,-0.09,0.0,0.02,-0.46,-0.11,-0.14,-0.02,0.03,-0.03,0.41,0.13,0.11,0.1,0.03,-0.12,0.05,0.75,0.91,0.93,-0.44,-0.4,-0.4,0.07,-0.19,0.22,0.25,0.43,0.41,0.07,-0.69,-0.19,-0.24,-0.91,-0.98,-0.11,0.09,0.04,0.38,0.0,-0.02,-0.82,-0.18,0.45,-0.49,-0.4,0.05,0.19,-0.06,-0.08,0.62,0.34,0.25,0.06,?,-0.11,-0.24,0.41,-0.02,-0.27,-0.11,0.16,0.38,0.19,0.1,-0.33,0.11,0.27,-0.29,-0.02,-0.12,-0.04,01.05.03.03.04@01.05.25@10.03.03@18.02.01.01@32.01.03@40.01@42.01@42.04@43.01.03.05,35
