g1,g1_bkg,r1,r1_bkg,g2,g2_bkg,r2,r2_bkg,f2,g3,g3_bkg,r3,r3_bkg,f3,g4,g4_bkg,r4,r4_bkg,f4,g5,g5_bkg,r5,r5_bkg,f5,g6,g6_bkg,r6,r6_bkg,g7,g7_bkg,r7,r7_bkg,f7,g1_ratio,g2_ratio,g3_ratio,g4_ratio,g5_ratio,g6_ratio,g7_ratio,r1_ratio,r2_ratio,r3_ratio,r4_ratio,r5_ratio,r6_ratio,r7_ratio,g1dashbkg,g2dashbkg,g3dashbkg,g4dashbkg,g5dashbkg,g6dashbkg,g7dashbkg,r1dashbkg,r2dashbkg,r3dashbkg,r4dashbkg,r5dashbkg,r6dashbkg,r7dashbkg,classification
-0.489389,-1.140003,-0.472921,-0.986259,-0.452953,-1.017208,-0.477454,-0.754977,-0.059171,-0.694696,-0.826245,-0.662304,-0.583627,-0.108052,-0.575244,-0.618016,-0.566695,-0.532581,-0.051875,-0.154747,0.17333,0.041114,0.819067,-0.067701,-0.147834,-0.849604,-0.152292,-0.023939,-0.486826,-0.504302,-0.541987,-0.291272,-0.101507,0.263918,0.259553,0.139143,0.378848,-0.867069,-0.041649,-0.016881,-0.491783,-0.395006,-0.337181,-0.484552,0.582193,-0.332119,-0.349347,-0.417013,-0.379064,-0.635747,-0.546806,-0.172378,-0.105351,-0.448455,-0.446171,-0.421055,-0.627371,-0.54604,-0.040304,-0.151927,-0.524476,01.07.04@01.20.19.01@14.07@14.10
-0.598675,0.623715,-0.660278,0.620404,-0.468022,1.66115,-0.58061,1.067668,-0.059171,-0.398472,1.860923,-0.353678,1.373695,-0.108052,-0.611128,0.294114,-0.602373,0.221658,-0.051875,-0.511162,-0.076214,-0.549296,-0.257896,-0.067701,-0.494046,1.655498,-0.492289,1.064436,-0.582111,0.055924,-0.661766,0.05359,-0.101507,2.493265,2.201687,-0.977097,0.865279,0.479855,-0.454775,0.210779,-2.101042,-1.632557,0.950948,-0.783676,-0.521006,-0.022191,-0.440505,-0.651589,-0.599522,-0.606727,-0.650915,-0.515965,-0.584122,-0.607045,-0.684849,-0.673082,-0.510899,-0.640615,-0.537756,-0.582266,-0.698523,20.09.07.03
-0.275969,-1.357746,-0.220851,-1.250886,-0.411392,-1.241204,-0.431357,-0.819076,-0.059171,-0.535914,-0.660841,-0.666247,-0.47615,-0.108052,-0.486589,-0.665246,-0.606027,-0.523845,-0.051875,-0.109543,0.006967,-0.152622,1.48045,-0.067701,-0.058343,-0.650786,-0.490933,-0.068572,-0.405189,-0.473311,-0.433694,-0.262332,-0.101507,-0.400143,0.209755,2.790214,3.610143,1.03087,1.459376,-0.121225,0.312846,-0.395006,-1.772525,-1.718441,-0.773166,-0.742317,-0.294653,-0.185052,-0.319965,-0.488008,-0.452043,-0.112492,-0.025289,-0.367494,-0.18386,-0.369293,-0.642684,-0.58743,-0.305748,-0.490442,-0.415525,11.02.03.01.07@11.04.02@11.04.03.01@11.04.03.05@16.03.03
-0.717624,-1.339082,-0.656015,-1.244586,-0.7728,-1.4844,-0.747989,-1.055964,-0.059171,-0.844841,-1.022184,-0.793475,-0.777913,-0.108052,-0.723847,-0.830551,-0.690923,-0.584999,-0.051875,-0.674591,-1.30853,-0.550291,-0.179341,-0.067701,-0.568848,-1.22073,-0.624435,-0.356974,-0.633724,-0.537678,-0.538049,-0.329858,-0.101507,0.311351,0.359149,0.139143,1.247475,-0.193607,-0.000336,-0.623976,-0.553678,-0.49401,-0.337181,-0.970629,-0.079727,-0.359465,0.17025,-0.634803,-0.665978,-0.771351,-0.684169,-0.581435,-0.511132,-0.596541,-0.622738,-0.669918,-0.743411,-0.670656,-0.546689,-0.602275,-0.514883,10.03.01.01.11@10.03.04.09@42.04.05
-0.174412,1.339156,-0.359189,0.557398,-0.513714,-0.578815,-0.435385,-0.222675,-0.059171,-0.486628,-0.640484,-0.511,-0.302534,-0.108052,-0.107693,0.450564,-0.331351,0.495397,-0.051875,0.488538,0.620044,-0.210568,-0.554377,-0.067701,-0.092919,1.465517,-0.411971,2.527046,-0.288564,-0.077576,-0.622058,0.015004,-0.101507,0.880546,-0.786212,0.604243,2.289829,2.653302,1.941356,1.899261,-1.048835,0.694038,-0.705218,-1.344535,-1.309006,-0.806126,-0.723093,-0.270947,-0.473966,-0.438937,-0.144063,0.448058,-0.169445,-0.289608,-0.379373,-0.421733,-0.499468,-0.380925,-0.160264,-0.617899,-0.651585,12.01@42.01
-0.523742,1.373373,-0.631021,0.563699,-0.736586,-0.684413,-0.675936,-0.420546,-0.059171,-0.758717,-0.462357,-0.745531,-0.26533,-0.108052,-0.575033,0.264595,-0.543483,0.373088,-0.051875,-0.324634,0.429035,0.006297,-0.513833,-0.067701,-0.531108,1.421335,0.154601,2.324478,-0.63025,-0.09188,-0.519344,-0.018759,-0.101507,1.59204,-0.786212,1.162363,0.205122,-1.907875,-1.184631,-0.747292,-1.605886,0.694038,-1.036451,-0.37238,2.504912,2.211115,0.398144,-0.628044,-0.690746,-0.739956,-0.611575,-0.36701,-0.609441,-0.640864,-0.653598,-0.648671,-0.747077,-0.591213,0.058217,-0.029404,-0.539551,01.05@02.16
-0.147144,0.455742,-0.025744,0.494392,-0.145015,1.03396,-0.007765,1.045373,-0.059171,-0.234863,0.239971,-0.371527,0.236918,-0.108052,-0.3973,-0.021737,-0.381429,0.32067,-0.051875,-0.39542,-0.122426,-0.395103,-0.706419,-0.067701,-0.075518,0.904409,-0.21443,2.547646,0.203493,0.020165,0.244285,0.159701,-0.101507,-1.253935,-1.1348,1.069343,0.170377,-0.56095,0.715749,-0.197112,1.736421,1.189059,-0.999647,-0.334989,0.235473,-0.605584,-0.249074,-0.181346,-0.225553,-0.268773,-0.407487,-0.393908,-0.122914,0.207942,-0.041278,-0.092629,-0.41082,-0.419422,-0.334334,-0.419998,0.232355,01.01.03.02.01@01.01.03.02.02@01.02@02.10@42.01
0.212493,-0.029514,0.183119,0.204562,0.248717,0.937961,0.822637,1.290622,-0.059171,1.101957,0.217069,2.484139,0.334061,-0.108052,-0.062732,-0.195898,0.573491,0.105173,-0.051875,-0.255089,-0.051568,0.246539,-0.382063,-0.067701,-0.018569,0.692337,0.036565,2.156243,0.947907,-0.022746,0.656126,0.043943,-0.101507,-0.35271,-2.03117,-2.046828,-2.05331,-1.969099,0.040976,0.096949,0.250951,2.971132,3.343188,3.030163,2.694032,-0.377696,-0.394926,0.217827,0.179069,1.121825,-0.05017,-0.256372,-0.054486,0.981167,0.178258,0.72629,2.54669,0.585736,0.291501,-0.135207,0.678779,01.03.01.03
-0.369152,-0.122832,-0.363452,-0.223882,-0.226678,0.589167,0.104566,0.791763,-0.059171,-0.05601,0.176354,-0.292036,0.148043,-0.108052,-0.484689,-0.181138,-0.459447,0.052755,-0.051875,-0.440624,-0.125507,-0.557254,-0.214817,-0.067701,-0.363652,1.014864,-0.211717,2.523612,-0.126282,-0.199158,0.245926,0.029474,-0.101507,-0.305277,-1.981371,1.487933,0.100887,1.643108,-0.275754,-0.586032,0.189057,2.872128,-1.22047,-0.297599,-1.025326,-0.177155,0.10644,-0.366217,-0.273862,-0.076448,-0.485732,-0.439838,-0.419438,-0.108983,-0.35945,0.041409,-0.318937,-0.479727,-0.550262,-0.415338,0.252569,01.04@10.03.01@10.03.03@14.07.03
-0.688209,-0.029514,-0.687984,0.166758,-0.589787,0.749164,-0.623798,0.644056,-0.059171,-0.628135,0.583501,-0.628058,0.505611,-0.108052,-0.683952,0.131761,-0.638696,0.253691,-0.051875,-0.651989,-0.199446,-0.591077,-0.047571,-0.067701,-0.646587,0.502356,-0.709638,0.446431,-0.664989,0.117907,-0.680471,0.010181,-0.101507,1.686906,1.106124,0.464713,0.448338,-0.254831,-0.275754,-0.500659,-1.66778,-1.038533,-0.594807,-0.521942,-0.048207,-0.177155,0.006167,-0.696717,-0.65249,-0.712783,-0.713946,-0.649695,-0.678554,-0.699279,-0.698716,-0.68235,-0.70545,-0.68067,-0.601819,-0.752482,-0.711885,01.06@10.01.09.05
0.843306,1.168072,0.806221,0.5763,0.739911,1.808348,1.111297,3.054741,-0.059171,1.215772,1.227301,1.583376,1.305488,-0.108052,1.617284,1.055698,2.4786,1.287494,-0.051875,1.329528,0.684741,1.574589,-0.460618,-0.067701,1.305489,2.839567,2.037747,3.629153,1.436242,0.656678,0.839896,0.487681,-0.101507,-0.68474,-1.1348,-1.023607,-1.427898,-0.989517,-0.344608,0.315124,0.746108,1.189059,1.024555,1.534539,0.708273,-0.122461,-0.476968,0.774402,0.607968,1.13528,1.587536,1.30195,1.171069,1.41236,0.794875,0.874794,1.509232,2.467876,1.662365,1.7687,0.807602,10.01.09.05@11.02.03.04@16.03.01
-0.234959,1.398258,-0.313077,1.048848,-0.451738,0.009976,-0.487971,-0.122346,-0.059171,-0.155853,0.771806,-0.218979,0.402268,-0.108052,-0.138934,0.562735,-0.196592,0.329407,-0.051875,-0.376544,0.373581,-0.456531,-0.584786,-0.067701,-0.159811,0.670246,-0.058949,0.18893,-0.194023,0.33723,-0.299149,-0.004289,-0.101507,-0.115545,0.159956,-0.046897,0.135632,-0.101771,-0.358379,-0.054824,-0.058522,-0.345504,-0.153163,-0.297599,-0.142766,-0.113346,-0.331116,-0.336568,-0.456555,-0.241863,-0.18449,-0.415477,-0.195904,-0.236573,-0.348122,-0.482988,-0.269545,-0.228716,-0.409628,-0.07463,-0.311714,01.06.02.01@20.03
-0.540919,1.317382,-0.653496,0.992142,-0.643986,0.313971,-0.731654,0.022574,-0.059171,-0.571227,1.011005,-0.602945,0.646158,-0.108052,-0.643635,0.545024,-0.650517,0.215834,-0.051875,-0.59536,0.13636,-0.677624,-0.450482,-0.067701,-0.597096,0.793955,-0.622536,0.381198,-0.649604,0.24664,-0.742493,0.010181,-0.101507,3.157326,3.59604,0.464713,1.872887,1.490049,-0.509859,0.343581,-2.410515,-2.177079,-0.594807,-1.232363,-0.962286,0.041618,-0.486084,-0.641561,-0.673825,-0.698009,-0.702861,-0.619498,-0.643655,-0.697229,-0.689536,-0.740892,-0.694018,-0.690016,-0.650059,-0.659288,-0.776639,01.01.06.05@01.05.13.03@11.06.02@12.04.01@12.10
-0.506351,-0.256588,-0.444439,-0.20498,-0.451495,0.099575,-0.4327,0.150772,-0.059171,-0.433785,-0.116283,-0.454962,-0.009039,-0.108052,-0.518251,-0.210657,-0.547567,-0.066642,-0.051875,-0.596105,-0.837169,-0.565212,-0.156534,-0.067701,-0.586023,-0.350351,-0.623893,-0.020505,-0.444394,-0.208693,-0.473074,-0.156221,-0.101507,-0.732173,-0.338027,0.278673,1.316966,0.632915,-0.22067,-0.168655,0.808002,0.149516,-0.447592,-0.970629,-0.615566,-0.222732,-0.267306,-0.496149,-0.463176,-0.438409,-0.518116,-0.540072,-0.573402,-0.436413,-0.441679,-0.449309,-0.47186,-0.56184,-0.5643,-0.628589,-0.471714,11.02.01@11.02.03.01
-0.415529,0.829016,-0.464977,0.532195,-0.271642,1.526752,-0.141802,2.907034,-0.059171,-0.304219,0.896495,-0.352433,0.801173,-0.108052,-0.176929,0.787078,-0.066776,0.798258,-0.051875,-0.249128,0.878831,-0.162818,-0.399801,-0.067701,-0.317324,2.017788,2.337585,3.059216,-0.163254,0.470731,6.966323,0.810839,-0.101507,0.074186,-0.338027,0.278673,-0.837231,-1.234413,-1.349882,-1.278499,-0.244205,0.149516,-0.447592,0.637166,1.054993,4.918427,8.128298,-0.480017,-0.39108,-0.408862,-0.24013,-0.326916,-0.424456,-0.219152,-0.485235,-0.379013,-0.44986,-0.130136,-0.126828,2.117083,7.157926,01.05@01.06.10@01.07@43.01.03.06
-0.387832,0.521065,-0.475246,0.147856,-0.233727,1.485153,-0.049386,2.756541,-0.059171,-0.501109,0.616581,-0.50851,0.396067,-0.108052,-0.413765,-0.054208,-0.380569,0.006161,-0.051875,-0.38772,0.512217,-0.512737,-0.660807,-0.067701,-0.201393,2.331478,-0.137639,3.189684,-0.465982,0.017781,-0.424834,0.109057,-0.101507,0.690814,-0.885808,-0.046897,-0.281309,0.204348,-0.027878,-0.358372,-0.863151,0.842544,-0.153163,0.038916,-0.363406,-0.341234,-0.139685,-0.430311,-0.349637,-0.584302,-0.422049,-0.438316,-0.323638,-0.483042,-0.483672,-0.273455,-0.569782,-0.394499,-0.459654,-0.393684,-0.459037,01.05.25@11.02.03.04.01
-0.538986,0.499291,-0.598859,-0.141973,-0.377366,1.62595,-0.260623,2.45834,-0.059171,-0.381451,1.054264,-0.427151,0.681294,-0.108052,-0.389912,-0.012881,-0.416677,0.084788,-0.051875,-0.446833,0.60464,-0.603761,-0.559445,-0.067701,-0.338793,2.490532,-0.311844,3.361352,-0.416603,0.051157,-0.6004,-0.023582,-0.101507,0.78568,-0.686615,0.139143,0.517828,1.061482,0.109831,0.656615,-0.98694,0.545532,-0.337181,-0.559333,-0.804686,-0.405043,-0.559009,-0.582263,-0.505355,-0.50542,-0.400532,-0.506322,-0.470531,-0.435644,-0.5993,-0.462645,-0.514997,-0.437892,-0.563279,-0.583362,-0.623491,10.01.02@10.01.03.03@16.19.03
-0.415314,-0.203708,-0.357833,0.072248,-0.220845,0.064375,-0.218554,0.376512,-0.059171,-0.224193,-0.042487,-0.19345,0.048834,-0.108052,-0.519518,-0.62392,-0.443542,-0.413184,-0.051875,-0.4138,-0.128588,-0.459764,-0.027299,-0.067701,-0.312804,1.889661,-0.166945,2.616313,-0.455809,-0.535294,-0.491122,-0.305742,-0.101507,-0.637307,-0.138834,-0.372467,-0.628761,0.571691,-0.344608,-0.102254,0.684213,-0.048492,0.178071,0.375432,-0.584046,-0.122461,-0.303769,-0.40742,-0.22776,-0.228408,-0.488992,-0.412179,-0.413279,-0.413098,-0.362966,-0.251304,-0.206132,-0.427656,-0.469098,-0.377512,-0.469315,11.04.01@11.04.03.01
-0.239683,-0.097947,-0.108476,0.525895,-0.261191,0.163574,-0.158137,0.345856,-0.059171,-0.169063,0.097469,0.123892,0.090171,-0.108052,-0.383791,-0.38777,-0.398838,-0.253018,-0.051875,-0.324882,-0.162476,-0.372471,-0.022231,-0.067701,-0.49382,0.020775,-0.638274,0.003528,-0.218837,-0.180086,-0.463229,-0.079049,-0.101507,-1.111637,-0.935607,-1.488707,0.274612,0.357408,0.302623,0.609185,1.426948,0.892046,1.87104,-0.409771,-0.457966,-0.487083,-0.549894,-0.236502,-0.27607,-0.185669,-0.366626,-0.318542,-0.499499,-0.206597,-0.125656,-0.187789,0.11934,-0.393609,-0.380021,-0.645035,-0.472399,34.11.03.07
-0.387832,0.225557,-0.402977,1.515096,-0.476528,0.019576,-0.524221,0.09782,-0.059171,-0.603492,-0.139185,-0.652549,-0.029707,-0.108052,-0.581788,-0.290358,-0.558743,-0.171478,-0.051875,-0.281417,1.205395,-0.15113,1.923905,-0.067701,-0.56139,-0.69055,-0.681689,-0.449675,-0.539183,-0.218229,-0.582679,-0.120047,-0.101507,0.45365,0.707738,1.627463,0.239867,-0.407891,0.164914,-0.083282,-0.677467,-0.791022,-1.294077,-0.37238,0.109393,-0.432389,-0.312884,-0.4096,-0.482304,-0.612267,-0.577669,-0.386803,-0.530976,-0.533258,-0.453202,-0.537462,-0.675038,-0.5654,-0.348882,-0.65271,-0.591286,42.04.05
-0.505707,0.996989,-0.594209,0.891332,-0.54531,0.797164,-0.636552,0.382086,-0.059171,-0.40965,0.822699,-0.412207,0.507678,-0.108052,-0.436984,0.710329,-0.493405,0.300285,-0.051875,-0.595857,0.145603,-0.657231,-0.331383,-0.067701,-0.3919,1.319717,-0.387278,0.600932,-0.418588,0.418284,-0.51836,0.106645,-0.101507,1.639473,1.902897,-0.325957,0.865279,1.18393,-0.37215,0.002091,-1.605886,-1.484051,0.104463,-0.783676,-0.836206,-0.10423,-0.358463,-0.583353,-0.611293,-0.510696,-0.50225,-0.620767,-0.463688,-0.47715,-0.626644,-0.673986,-0.48135,-0.533801,-0.641126,-0.439185,-0.556339,10.01.03.03@10.01.03.05
0.278194,-0.486774,0.52722,-0.274287,0.190629,0.182773,0.287161,0.585531,-0.059171,0.982045,0.026219,1.309827,-0.031774,-0.108052,-0.022838,-0.71838,0.225739,-0.331645,-0.051875,0.125914,0.124037,0.214706,0.046188,-0.067701,0.249451,1.350644,0.305199,2.890982,0.395552,-0.41848,0.158963,-0.286449,-0.101507,-1.301368,-0.686615,-1.023607,-1.149937,-0.71401,0.082289,0.125407,1.86021,0.545532,1.024555,1.048462,0.393073,-0.395927,-0.413158,0.316585,0.178333,1.017089,0.029379,0.118427,0.182049,0.453386,0.539986,0.242579,1.364506,0.259065,0.215696,0.077496,0.206659,14.04@16.02@20.09.07
-0.592663,0.287769,-0.647296,-0.00966,-0.253656,1.63235,-0.19036,2.146205,-0.059171,-0.655064,0.715823,-0.666039,0.400201,-0.108052,-0.546326,0.326585,-0.501358,0.527431,-0.051875,-0.562823,0.616964,-0.665935,-0.541707,-0.067701,-0.479809,2.075224,0.402069,3.975923,-0.497992,0.253792,0.839896,0.273047,-0.101507,1.734339,-0.387825,0.325183,-0.038094,0.724751,-1.198402,-1.183641,-1.66778,0.199018,-0.484396,-0.185427,-0.647086,2.347848,3.570424,-0.62194,-0.381026,-0.754467,-0.586581,-0.625842,-0.591421,-0.541457,-0.652231,-0.366355,-0.73392,-0.559392,-0.628874,0.088734,0.838094,42.01
-0.252565,-0.458778,-0.224533,-0.778338,-0.246851,0.701165,-0.241155,1.023077,-0.059171,0.013092,-0.075568,0.041287,0.042633,-0.108052,-0.339463,-0.653439,-0.204329,-0.349117,-0.051875,-0.249874,0.352016,-0.143917,0.142481,-0.067701,-0.197551,0.988355,1.220722,2.321044,-0.274916,-0.00129,0.400818,0.285105,-0.101507,-0.542442,-0.039237,-0.372467,-0.906721,-0.867069,-1.088235,-0.84215,0.49853,-0.147496,0.178071,0.711947,0.582193,1.518334,0.644269,-0.224293,-0.302799,0.02143,-0.301422,-0.284285,-0.250419,-0.283715,-0.20222,-0.326573,0.038457,-0.184878,-0.162051,1.047814,0.377965,16.01@20.01.10@20.09.07.03@20.09.16@20.09.18@42.25
-0.680264,-0.757397,-0.645553,-0.538914,-0.562809,-0.450817,-0.524221,-0.283987,-0.059171,-0.532357,-0.59468,-0.439188,-0.43688,-0.108052,-0.678042,-0.553075,-0.626875,-0.346205,-0.051875,-0.518861,-0.667726,-0.377445,0.324931,-0.067701,-0.616983,-0.478478,-0.436935,-0.19904,-0.571937,-0.478079,-0.299149,-0.257509,-0.101507,0.595948,-0.487422,-0.744547,-0.038094,-0.499726,-0.85413,-0.813693,-0.801256,0.347524,0.619715,-0.185427,0.172433,0.625012,0.553112,-0.637637,-0.533311,-0.491174,-0.657435,-0.47511,-0.598036,-0.539151,-0.634066,-0.506496,-0.41082,-0.62259,-0.420093,-0.42548,-0.275739,02.19@10.03.01@10.03.02@12.07@14.13.01.01@43.01.03.05@43.01.03.09
-0.370226,0.897449,-0.430877,0.847228,-0.415524,1.312355,-0.487971,0.908814,-0.059171,-0.197771,1.100068,-0.186601,0.7371,-0.108052,-0.38548,0.860874,-0.415172,0.594409,-0.051875,-0.481109,-0.030002,-0.553275,-0.536639,-0.067701,-0.260601,1.655498,-0.183497,0.233563,-0.352583,0.31339,-0.51114,0.080118,-0.101507,0.216485,0.707738,-0.511997,0.344103,0.418631,-0.496088,0.286666,-0.429889,-0.791022,0.325285,-0.447161,-0.489486,0.023387,-0.467852,-0.438813,-0.519824,-0.319426,-0.460302,-0.489067,-0.3485,-0.397726,-0.460625,-0.566621,-0.270839,-0.475276,-0.513764,-0.204006,-0.545033,01.05.03.03.04@01.05.25@10.03.03@18.02.01.01@32.01.03@40.01@42.01@42.04@43.01.03.05
