DES460_Plus_0point02_MMS___5_min,DES460_Plus_0point02_MMS___15_min,DES460_Plus_0point02_MMS___30_min,DES460_Plus_0point2_MMS___45_min,DES460_Plus_0point02_MMS___60_min,DES460_Plus_0point02_MMS___90_min,DES460_Plus_0point02_MMS___120_min,DES459_mec1__Plus_0point02_MMS___5_min,DES459_mec1__Plus_0point02_MMS___15_min,DES459_mec1__Plus_0point02_MMS___30_min,DES459_mec1__Plus_0point02_MMS___45_min,DES459_mec1__Plus_0point02_MMS___60_min,DES459_mec1__Plus_0point02_MMS___90_min,DES459_mec1__Plus_0point02_MMS___120_min,dun1__Plus_0point02_MMs___30_min,dun1__Plus_0point02_MMS___90_min,dun1__Plus_0point02_MMS___120_min,wt_plus_gamma_5_min,wt_plus_gamma_10_min,wt_plus_gamma_20_min,wt_plus_gamma_30_min,wt_plus_gamma_45_min,wt_plus_gamma_60_min,wt_plus_gamma_90_min,wt_plus_gamma_120_min,DES460_wt___mock_irradiation___5_min,DES460_wt___mock_irradiation___30_min,DES460_wt___mock_irradiation___60_min,DES460_wt___mock_irradiation___90_min,mec1_plus_gamma_5_min,mec1_plus_gamma_10_min,mec1_plus_gamma_20_min,mec1_plus_gamma_30_min,mec1_plus_gamma_45_min,mec1_plus_gamma_60_min,mec1_plus_gamma_90_min,mec1_plus_gamma_120_min,DES459_mec1___mock_irradiation___5_min,DES459_mec1___mock_irradiation___30_min,DES459_mec1___mock_irradiation___60_min,DES460_wild_type_Plus_heat_20_min,DES459_mec1_Plus_heat_20_min,MHY1_dun1_Plus_heat_20_min,DES460_vs_DES460_YPD_log_phase_control,DES459_mec1___log_phase_IR_time_=_0_sample,DES459_mec1___log_phase_MMS_time_=_0_sample,DES460wt_vs_DES459mec1_genomic_DNA_comparison,DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2,DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA,MHY1_crt1_vs_CRY1_wild_type,MHY1_crt1_vs_CRY1_wild_type___log_phase,pRS_ROX1_GAL_media,classification
-1.5464,0.161153,0.111219,0.409624,0.449551,0.851788,0.804777,-0.248586,-1.259267,-0.002002,0.082621,-0.41041,0.01853,0.547628,-0.52853,0.031282,0.17308,0.033656,0.0,0.498853,0.897884,0.013331,0.016105,1.012142,1.314339,0.209186,0.567496,-0.060825,-1.684322,-0.677626,-1.521771,-1.46473,-1.546805,-1.158996,-1.078255,-1.388901,-0.973375,0.557712,-0.651965,0.065607,0.614819,0.464104,0.220386,0.652586,1.031099,-2.62601,0.112722,-0.0,-0.367622,-0.0,-1.462007,-0.485973,20.01.23@20.09.18
-2.563273,0.163631,0.775223,1.244272,0.791785,0.692509,1.354439,0.07228,-0.436412,0.233653,0.71721,2.586291,2.814246,2.997012,0.977785,2.472957,2.455839,1.604432,1.051312,1.573137,1.625588,0.987108,1.990268,1.059222,1.460842,1.009184,0.742879,0.18442,0.508977,-0.217043,0.728031,0.985421,1.767306,1.654849,1.581266,1.662187,0.64369,0.943042,1.09413,0.102461,2.045521,2.543355,2.42686,0.042336,-0.282256,-0.0,0.566212,-0.337049,0.859975,-0.495565,-0.714002,1.831508,01.01.09.01.02@01.05.05.07@01.07
1.864748,1.888761,2.419135,3.312426,3.44364,3.344342,3.064314,0.970706,0.448378,1.319258,2.072255,3.313645,4.016632,3.776149,3.551072,4.430121,4.303582,-0.797412,0.786619,1.608884,0.245243,0.267547,1.184065,0.504181,1.191091,1.360698,1.388489,1.389402,-0.8748,0.71777,0.464248,0.0,0.0,0.0,-0.0,-0.0,1.549887,0.670724,1.282132,0.261217,2.871011,1.788838,0.27888,1.418045,0.0,-0.0,2.123304,-2.54158,1.005291,-2.908226,-0.743145,1.005081,01.01.09.01.02@01.05.05.07@01.07
1.749194,-0.056967,0.268165,-0.125881,-0.178183,0.067252,0.250179,-0.0619,0.321558,0.39517,-0.547779,-0.855774,-0.238313,0.162725,0.330069,0.377664,0.666242,-0.266943,-0.334028,0.071774,-0.209311,0.530381,1.229543,0.571083,1.525954,-0.292631,1.284276,0.350491,0.367311,0.113894,-0.493399,0.104468,0.556955,0.796045,0.767181,0.314598,0.842221,0.098856,-0.317168,-0.152683,-0.604504,-0.507299,-0.461145,-0.204586,0.225428,0.534492,-0.420051,-0.103354,-0.050962,0.418812,0.22829,1.59752,01.01.13@11.02.03.04.01@16.03.01
0.071353,0.470982,0.43316,-0.840502,-0.117789,0.179087,0.673122,0.363977,0.300913,0.252188,0.201999,-0.551404,0.043532,0.491642,-0.202162,1.880069,1.917453,0.017447,0.164419,-0.127655,-0.511653,-0.059918,0.444012,0.040821,0.935293,0.138883,0.082017,-0.611177,-0.108283,1.091354,0.867569,1.804962,-0.251477,1.293647,0.898063,2.112398,1.255293,0.388875,-0.314592,-0.158352,-0.482127,-0.272085,-0.331913,-0.67021,-0.5269,-0.240083,-0.410537,0.414672,-0.21363,-0.912997,-0.121427,1.303789,02.11@02.13@16.21.05@20.01.15
0.288594,-0.299873,1.179661,0.812175,0.824727,0.917872,1.147082,-0.473192,-0.344984,0.201879,-0.093305,-0.338793,-0.392873,0.1324,0.350154,0.541292,-0.06381,-0.473236,-0.474968,0.135742,0.36201,0.610093,1.184065,0.851081,1.142257,-0.069601,0.214189,1.252296,0.187698,-0.834565,-0.15698,-0.475775,0.368627,0.548508,-0.256316,0.579249,0.794189,0.011714,1.253803,1.19958,-0.310799,-0.328088,-0.257094,-1.615569,0.094828,-0.357084,-0.435907,0.103078,-0.484742,1.97673,-0.065569,3.06617,01.05.09.04@01.05.09.07
-0.0,2.114317,2.322552,2.119544,2.003329,1.155097,-0.072377,-0.0,1.805055,3.080056,2.845071,2.317729,2.075541,1.326765,0.0,0.0,0.0,0.720318,1.467258,0.927814,1.656865,1.96304,0.54117,-0.841298,-1.394794,-1.332628,-2.67835,-1.433809,-1.160663,0.745063,2.373809,2.912507,3.209621,2.40504,1.979148,2.048516,1.290516,-0.39404,-1.159311,-1.941524,-1.0662,-0.492025,0.069388,-0.0,-0.600477,-0.010524,-0.410537,0.079708,1.079034,-1.173893,-2.010868,-0.179797,20.01.27@20.03.25@20.09.16@32.07
0.394904,0.049614,-0.216758,0.069855,0.065224,0.519674,0.740595,0.743182,0.554552,1.319258,0.710927,0.820498,0.609494,0.60828,0.576101,0.201285,0.905286,0.692321,0.215983,-0.197267,0.174349,-0.098697,-0.723948,-0.105373,-0.536708,-0.105965,-0.53055,-0.263586,-0.052629,1.239764,1.781252,1.402604,0.80959,0.386851,0.861416,-0.826138,-0.867705,0.599922,0.396207,-0.810387,0.667107,0.844927,0.895115,-0.391541,-0.861677,0.235326,-0.49299,0.811955,-0.322075,-0.36139,-0.206427,-0.436188,01.05@02.10@02.13@20.01.15@32.01
-0.02109,0.540384,1.048873,1.004218,0.963817,1.412655,1.497614,0.714013,1.430494,1.043885,1.138174,0.894352,1.114087,1.002514,0.802048,0.9238,1.292924,-0.088647,-0.06246,0.329527,0.687287,0.41189,0.073986,-0.387849,0.109763,-0.370206,-0.12895,-0.439313,0.842905,0.673417,0.152678,0.75883,1.018588,0.641966,0.241035,0.837815,0.685318,0.207783,-0.026152,-0.490039,0.718283,0.573056,0.798531,0.253984,-0.685091,-1.290128,-0.315399,0.597734,-0.549809,-2.118086,-1.253149,0.370325,10.01.03@10.03.01@14.13@40.20
1.494976,3.794831,2.223958,1.899803,1.802015,1.097485,1.073025,0.746099,1.760816,1.66877,0.838682,1.245721,0.350379,-0.072882,3.794592,2.441081,1.105565,1.113749,1.001467,-1.378791,-1.610508,-1.167267,-1.697593,-1.185721,-0.073946,-0.954447,-0.052697,1.775614,1.773856,0.797945,0.303685,0.417884,1.076005,0.0,-0.88455,0.275052,-1.043821,1.595244,0.965362,0.266887,0.170923,0.612768,-0.232608,0.151687,0.0,-0.0,-0.236118,0.029074,-0.634396,1.243738,-1.02729,0.22346,01.01.03.05.01@01.04@01.20.17.01
2.525716,1.792094,-0.100055,-0.295765,-0.480155,-1.078204,-0.94624,-0.0,-1.512906,-1.672775,-2.059901,-1.627889,-2.274867,-1.346561,0.550996,-1.230994,-1.560525,-0.042967,0.960216,-0.233014,0.259839,-0.439088,-1.230409,-0.670326,-0.955287,0.650397,0.432782,0.308008,-0.568699,-0.022575,0.643927,-0.80825,-0.687846,-1.434319,-0.779844,-0.966068,-0.060774,0.094771,-0.0,-0.010936,0.858461,0.659607,-0.363201,-2.060029,0.490306,0.866241,-0.486648,0.418567,-0.341595,-0.0,1.649014,0.599335,01.01.03.05.02@01.01.05.03@01.02.07
-0.136644,-0.255258,0.551876,0.575815,0.504454,0.753509,0.075735,0.130619,0.351051,0.217766,0.893135,0.777976,0.675409,0.87188,-0.508446,0.118409,0.211844,0.197217,0.0,0.075537,0.095115,0.577777,0.121531,-0.315991,-0.171615,-0.05748,0.468367,-1.38167,0.605108,-0.234102,-0.686458,-0.075534,-0.219323,0.523249,-0.154228,0.275052,0.23382,0.439254,0.084589,-0.458855,0.475754,0.567965,1.086924,-0.733705,0.354188,-0.0,2.646562,-2.366308,-0.224474,0.388995,-0.01214,-0.13748,01.01.03.05@01.01.13@01.04@01.06.02.01@11.02.03.04@30.01.09.11@43.01.03.09
0.223884,-0.490728,-0.244928,-0.135113,-0.225767,-0.266557,-0.261632,-0.058983,-0.377426,-0.528918,0.14964,-0.074708,-0.140576,-0.387803,-0.920171,-0.899487,-0.684032,0.036603,0.0,-0.56226,-0.109226,0.155519,-0.064516,0.137457,-1.511066,0.167974,0.498868,-0.275172,0.185168,-0.768037,-0.682635,-0.40801,0.058575,-0.578041,-0.724874,-0.567571,-1.399255,0.974359,0.445139,1.040824,-0.070494,-0.148878,0.179576,1.650857,-0.067042,-1.593738,-0.128295,0.204346,-0.70597,0.754249,-0.203999,-0.88923,01.01.03.05@01.01.13@01.02.07@11.02.03.01@11.02.03.04@18.02.09@20.09.16.09.03
-0.0,0.022349,-0.611136,-0.168352,0.15673,0.129947,-0.462406,-0.295258,-1.695763,-0.838712,-1.819051,-0.578261,-0.379235,-0.884678,0.407896,-0.897362,-0.666803,-0.0,-1.423737,-0.566023,0.013796,-0.628673,-0.785964,0.984886,-0.162313,0.119489,-0.268748,-1.30829,-1.201139,-0.863565,0.0,2.493207,-1.450344,-0.595722,-1.240549,-0.254249,-1.629807,0.0,-0.0,-1.567313,-1.151864,-0.0,0.353699,0.398609,-1.391433,-0.0,-0.204405,0.52373,-0.165914,-0.0,0.233147,-0.732408,01.01.03.05@01.01.13@01.02.07@11.02.03.01@11.02.03.04@16.03.01
0.607523,1.006367,1.117285,0.710614,0.700278,-0.205556,-0.334042,0.708179,1.215195,0.630826,0.696266,0.802594,0.309466,0.521968,2.514225,1.465686,1.148636,-0.289046,-0.172462,-0.344017,-0.741015,-0.016831,-0.502759,0.813913,-0.278585,0.020096,0.664084,0.690358,0.089038,0.274245,0.068574,0.259058,0.658009,0.204986,0.790739,0.44236,0.509202,0.473294,-0.590156,-0.66297,-1.788226,-1.515359,-1.719462,-1.315735,-1.713334,-0.0,-0.429565,0.418567,0.098692,3.380596,1.952587,-2.571955,01.01.09@01.05.11.04@01.20.15
0.404148,-0.998848,-0.122188,-0.395479,-0.650356,-0.79184,-0.478863,1.358662,0.973353,-0.245602,0.891041,0.321421,0.138996,0.48931,0.433001,0.794172,0.679163,-0.555754,-0.131211,-0.556616,-0.64093,-0.38092,-0.73015,-1.686249,-1.852905,-0.624751,-1.234622,-1.769813,-1.808281,-0.757802,-0.275491,0.22094,0.435231,0.210038,0.583946,-0.36376,-0.150433,-1.458803,-0.834815,-1.142074,-0.196209,-0.524609,-0.579495,1.351023,-1.189096,-0.442983,-0.001444,0.348458,-1.17879,-0.122857,1.066153,-1.207852,01.01.09.04@01.01.09.05@01.01.09.06
0.159174,0.751068,0.260117,0.003379,0.279349,-0.215723,-0.890287,0.996958,0.849482,0.77116,0.204093,0.211758,-0.392873,-0.0,1.479889,-1.071616,-0.869237,-0.800359,-1.059355,-1.772005,-1.821104,-0.820412,-1.523949,-1.012271,-1.778491,-1.822324,-0.680515,-0.518486,-1.067062,-0.437099,-0.22197,0.047291,0.357144,-0.54773,-0.866226,-1.136418,-0.864503,0.149235,-0.796185,-0.756523,-1.319855,-1.263853,-1.239261,-0.998264,-2.064666,-1.414534,-0.039499,0.874274,-0.393648,-0.204852,1.010295,-0.456102,01.01.09.04@01.01.09.05@01.01.09.06@01.07@20.01.15
0.348682,1.427735,1.398984,1.172255,0.846688,0.489173,0.054341,-0.534449,0.377594,0.736738,-0.225249,-0.576023,0.161725,0.032091,1.0531,0.783547,0.829911,0.21932,0.759119,0.867609,0.645585,0.510991,1.246081,1.207893,0.793442,1.68797,0.717461,0.744427,0.837846,0.525007,0.441311,0.708006,0.513318,0.366644,0.976592,-0.667956,-0.944556,1.337904,1.506188,0.782845,-0.319699,-0.08371,-0.631188,-0.627881,0.0,0.18349,1.771293,-2.050818,-0.983589,2.269927,0.422577,0.133847,01.01.09.04@01.01.09.05@01.01.09.06@01.04@01.05.11.04@01.20.15@16.19.03@16.21.07
-0.894676,0.758504,0.302372,0.101247,0.694788,0.504423,0.292967,-0.872817,-0.749038,-1.926965,-0.44725,-0.242559,-0.061023,-0.551095,0.731753,0.806923,0.534876,0.972291,-1.346391,0.374681,0.73733,0.510991,-0.28157,0.159758,0.060929,-0.508388,-2.37842,-1.30829,-1.378222,0.083189,-0.109193,0.0,0.78203,0.290867,0.604887,0.016486,-0.685185,-0.475735,-0.044179,-0.852911,-0.150596,0.616841,0.004091,0.472686,-0.821209,-0.0,-0.134637,0.395197,0.623565,-3.000161,-1.483865,-0.896698,20.01.01.01.01
-0.737523,0.770897,0.445233,0.487179,0.057903,-0.181834,-0.16289,-0.715301,-0.684153,-0.04172,-0.25457,-0.569309,0.468572,0.071748,0.212075,0.551917,-0.06381,-0.175584,0.112856,0.327645,0.37035,0.403273,-0.754956,-0.945368,-0.825062,0.281913,-1.740435,-1.798779,-0.0,-0.218749,-0.575592,-0.183536,-0.120566,0.609129,0.353594,-0.597991,-0.134422,-0.06045,-0.991912,-1.754419,-1.154089,-0.335216,-0.676079,-1.058231,-1.155986,0.112401,-0.083897,0.850904,0.029287,-2.329287,-1.624723,-0.249496,32.05.01.03.03@32.07.03
-0.728279,0.327221,0.145425,0.254512,0.361704,0.192642,0.529947,-0.729885,-0.533739,0.673191,-0.005342,-0.224654,0.236732,0.155727,-0.488361,-0.100471,-0.06381,0.796941,0.40333,0.244863,2.280314,0.394655,-0.109994,1.388777,0.99808,-0.001722,0.920803,-0.309932,-0.128522,-0.737331,-0.973179,-0.672719,-1.399817,-0.441642,-0.761521,-0.351592,0.534819,-0.275581,-1.406545,-1.085375,0.115297,0.525199,-0.180915,-1.216966,-0.33192,0.113882,0.277627,1.037861,-0.165914,-0.932875,0.459006,0.683969,01.01.06.01@01.01.06.02.02@01.02@32.01.11
0.256239,0.101665,-0.160419,0.114173,0.105486,-0.222501,0.781738,-0.569452,-0.070699,-3.221747,-0.095399,-0.204512,0.273099,0.400665,-0.458235,-0.164222,-0.221019,0.664324,0.877715,0.282492,0.941671,0.026257,-0.099658,1.482936,1.209695,0.468579,0.755587,-0.068549,0.078919,-0.078868,-0.298429,0.074821,-0.279037,0.591448,1.539384,1.467502,2.212724,-0.210225,-0.350647,-0.855746,0.296638,0.871401,0.412194,-1.058231,-0.048648,0.781823,-0.454935,1.162498,1.384849,-0.0,0.371577,0.683969,01.01.06.01@01.01.06.02.02@01.02@32.01.11
0.954184,1.316196,0.998569,0.778937,0.735051,0.519674,0.225493,-0.691965,-0.784429,1.388101,0.633435,-0.170942,0.777692,0.89754,1.956889,1.676065,1.021577,-0.068017,-0.024647,-0.413629,-0.334418,0.168446,-0.645395,0.266306,-0.297188,-1.196871,0.176063,0.284835,-0.674949,-0.848212,-1.634548,-1.365199,-2.357533,-2.702317,-2.277134,-2.24065,-1.988443,0.776928,0.06141,1.029484,-0.456539,-0.615233,-0.832519,-3.284056,-0.900305,-0.281551,0.027097,-0.0,-0.048793,-0.090555,-0.364286,0.489808,01.01.03.02@01.01.06.01.01@01.01.06.01.02@01.01.06.02.01@01.02
0.394904,0.121494,-0.035667,-0.31977,-0.657677,-0.315696,-0.156308,0.900699,0.651879,0.037715,0.082621,-0.291795,-0.011019,0.253702,-0.746945,-0.914362,-0.313622,0.335728,-0.162149,-0.835064,-0.818165,-0.598512,-0.856248,-0.308558,-0.071621,-0.21748,-1.509134,-1.267737,-0.120932,-0.312571,-0.464727,-0.446128,-0.347937,-0.153691,0.055183,0.080367,0.903061,-0.946845,-1.208243,-1.059861,0.328901,0.112811,0.093874,1.128793,1.588448,2.019958,2.703645,-1.910601,0.157252,-2.774051,0.41772,0.0,02.11@02.13@02.45.15@14.10@20.01.01.01@20.01.15
-0.372373,-0.185856,-0.287183,-0.292072,-0.818728,-0.388558,-0.340625,-0.540283,-1.091157,-1.098198,-1.184462,-1.180286,-1.092938,-0.933665,-1.254071,-0.852736,-1.631592,-4.768559,0.0,0.0,0.0,-0.0,0.0,-0.177231,0.0,0.235853,-1.397295,-0.667178,-0.212004,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.50569,-2.568033,-0.821726,0.938562,-0.059272,0.478851,0.497378,0.0,2.322087,-0.036328,0.484781,-0.515107,-2.565335,-0.0,0.0,02.11@02.13@02.45.15@20.01.01.01@20.01.15@20.03.22@20.09.04@34.01.01.03
0.210018,-1.036028,-0.188589,-0.738941,-0.950497,-0.217417,-0.426201,1.300323,1.182753,1.560209,0.568511,0.366181,0.116266,0.23504,0.608738,0.305412,0.689931,0.816097,0.363798,0.137623,0.145158,0.065036,-0.659865,-0.145019,0.309751,-1.873233,-2.264041,-2.036299,-1.239085,0.620535,0.305596,0.735536,0.779733,0.020596,-0.371492,0.448444,-0.188858,-1.088451,-1.519861,-2.213678,0.455728,0.089391,-0.099295,1.439209,-0.247306,-0.0,-0.362968,1.185868,-0.888157,-2.505702,-0.862146,-0.543226,14.10@16.01@32.01.07@42.16
2.243764,0.361922,-0.150358,-0.37886,-0.159882,0.116392,0.390063,-0.394434,-0.61337,-0.666604,-1.042046,-1.345899,-0.872463,-0.41113,-0.076635,-0.138722,-0.128417,0.042497,0.002854,0.068011,-0.313567,-0.544652,-0.386997,1.753023,1.739894,0.330398,1.047891,1.574783,1.444988,-0.737331,-1.699538,-2.148739,-1.799439,-1.755107,-0.853138,-0.455019,-0.047965,0.915811,-0.013275,1.236434,0.269937,-0.262921,-0.345516,-0.158729,0.194158,0.553746,-0.290029,0.208241,-0.437026,-0.545259,-1.253149,0.698904,02.11@02.13@02.45.15@20.01.01.01@20.01.15@20.03.22@20.09.04@34.01.01.03@40.20
1.411777,0.470982,-0.055788,-0.172045,-0.061055,0.32481,0.320944,0.597334,0.586995,-0.192645,-0.187551,0.068525,-0.036021,-0.044889,-0.453214,0.010031,-0.408378,-0.153482,-0.456061,-0.453139,-1.039187,-0.288282,0.109128,-0.011214,0.546945,0.08555,-1.43288,-0.083997,0.008085,-0.063515,-0.671166,-0.547776,0.155036,-0.034974,-0.423845,-0.269459,0.720541,-1.251842,-2.248688,-1.771429,0.536942,0.197325,0.225827,1.855449,0.514219,1.310548,-0.093411,0.399092,1.580049,-2.137963,-0.135998,0.527147,02.11@02.13@02.45.15@14.10@16.07@20.01.01.01@20.01.15@20.03.22@20.09.04@34.01.01.03
