chip_affymetrix_chip=B,chip_affymetrix_chip=A,chip_affymetrix_chip=C,chip_affymetrix_chip=D,chip_affymetrix_chip=A-D,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,classification,id
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,0.04084,0.55934,0.067153,0.600899,2.980544,-0.038235,2.071658,0.35251,0.080508,-0.398314,-0.244582,-0.115674,1.201597,4.455987,0.405752,0.876392,3.809549,0.405014,0,-0,-0.786808,01.06.06.11,10
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.225148,0.010793,0.019813,0.01769,2.776912,3.879945,3.600583,-0.047492,1.58104,1.536573,4.087519,0.425445,0.661044,-0.224357,1.751963,0.910169,3.809549,0,0,-0,-0.786808,14.13.01,11
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,2.423167,4.609728,3.157762,1.923641,2.776912,0.987955,-0.986192,3.241407,-0.119563,0.707336,-0.244582,-0.494458,1.850261,4.455987,0.716416,0.02071,-0.262428,0,0,-0,-0.786808,12.01.01@16.03.03,12
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,0.110228,0.675699,0.378243,0.43255,2.675096,1.267825,0.447175,0.4287,0.680721,0.56913,-0.244582,0.371333,0.661044,-0.224357,0.612862,-0.114398,-0.262428,0,0,-0,-0.786808,01.05.25@16.03.01@30.01@32.01.09@40.10.02.01@42.10.03,13
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,0.33574,1.024775,0.128018,0.87146,2.573279,-2.183905,1.498311,0.650923,0.180543,1.536573,4.087519,0.100774,0.769154,4.455987,0.095088,0.707507,-0.262428,0,-4.267496,-0,-0.786808,11.04.01@20.01.21@20.09.01@42.10,14
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.05746,0.188101,0.100967,0.01769,2.471463,1.267825,-0.508403,0.073144,0.280579,0.707336,-0.244582,-0.440346,1.417818,4.455987,0.095088,-0.148175,-0.262428,0,0,-0,-0.786808,14.04@20.09.07.03,15
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,1.748485,0.948668,2.542978,3.27273,1.202145,2.369647,1.267825,-0.030614,2.079499,1.080862,0.430924,-0.244582,-0.223898,0.985376,4.455987,-0.112021,-0.339577,-0.262428,0,0,-0,-0.786808,12.01.01,16
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,-0.103719,0.404195,0.499973,-0.102559,2.369647,2.200725,-0.126172,0.174731,1.781111,0.707336,-0.244582,0.100774,0.661044,-0.224357,0.095088,-0.41839,-0.262428,-3.986405,-4.267496,0.514708,-0.786808,01.05.02.04@01.20.01.01@16.21.07,17
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,1.634488,0.717374,1.667518,0.777249,0.757223,2.267831,0.241635,0.542733,1.063623,0.780756,-0.260107,-0.244582,-0.223898,0.985376,4.455987,-0.112021,0.110782,-0.262428,0,0,-0,-0.786808,12.01.01,18
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,-0.022766,0.066201,-0.014001,0.378438,2.267831,0.055055,3.982814,0.111239,-0.519705,-0.260107,-0.244582,0.046662,0.661044,-0.224357,-0.52624,3.983869,3.809549,0,0,-0,-0.786808,10.03.01@10.03.05.01@16.01@42.04.05,19
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.277189,-0.172057,-0.2507,-0.276921,2.267831,0.894665,-0.317288,-0.250667,0.880792,0.154511,-0.244582,-0.061562,0.769154,4.455987,1.751963,-0.350836,-0.262428,-3.986405,-4.267496,-0,-0.786808,01.03.16.01@10.03.01@11.04.01,20
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.092154,0.132692,0.22946,0.053765,2.267831,2.014145,0.924964,0.085842,0.48065,1.260161,4.087519,-0.115674,0.877265,4.455987,-0.52624,0.707507,-0.262428,0,0,-3.453974,-0.786808,11.04.01@11.06.01,21
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,0.26652,0.503428,1.440341,1.609076,0.949622,2.166015,2.107435,-0.030614,1.184258,-0.61974,3.609666,4.087519,-0.819129,2.823256,4.455987,-0.52624,-0.317059,-0.262428,0,0,-0,-0.786808,12.01.01,22
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,0.26652,4.689846,8.521594,8.500391,4.448876,2.166015,0.428215,-1.463981,6.904909,-0.219598,0.154511,-0.244582,-0.386234,1.093486,4.455987,0.405752,0.369738,-0.262428,0,0,-0,-0.786808,12.01.01,23
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,0.266351,0.708944,0.202409,0.667036,2.064198,-1.717455,1.211637,0.504891,-0.319634,1.812985,-0.244582,-0.602681,1.525929,-0.224357,-0.629794,1.157866,-0.262428,0,0,-0,-0.786808,12.04.02@42.01,24
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,0.757851,0.631372,0.865166,1.274295,1.962382,1.267825,2.645005,0.930289,0.380614,0.707336,-0.244582,-0.332122,0.877265,-0.224357,0.819971,0.943946,3.809549,0,0,-0,-0.786808,01.05@42.01,25
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,0.324175,1.312901,0.702858,1.959716,1.962382,-0.318105,2.740563,1.152512,0.580685,-0.121901,-0.244582,-0.386234,0.985376,-0.224357,0.612862,1.11283,3.809549,0,0,-0,-0.786808,14.10@16.01@20.09.18@40.01@42.04.03@43.01.03.05,26
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,2.024185,4.111049,2.014845,2.025853,1.962382,-2.277195,-1.08175,2.746167,-0.419669,2.918635,4.087519,-0.494458,1.201597,-0.224357,-0.31913,0.448551,-0.262428,0,0,-0,-0.786808,12.01.01@14.13.01,27
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,3.71263,5.972786,5.910231,3.114109,1.962382,1.361115,-0.890634,4.936649,0.080508,0.983748,-0.244582,-0.873241,2.931367,-0.224357,-0.733349,0.583659,-0.262428,0,0,-0,-0.786808,12.01.01,28
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,3.61433,3.30762,4.544141,2.440713,1.860566,0.428215,-0.986192,3.654106,-0.019528,0.154511,-0.244582,-0.332122,0.877265,-0.224357,0.198643,0.144559,-0.262428,0,0,-0,-0.786808,20.01.01.01@20.01.15@20.03.22@34.01.01.03,29
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,1.081662,1.916857,2.420615,1.496756,1.860566,1.081245,0.064944,1.812831,0.48065,0.430924,-0.244582,-0.115674,0.661044,-0.224357,1.23419,-0.339577,-0.262428,0,0,-0,-0.786808,01.01.11.02.01@42.16,30
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,0.437516,1.318738,4.293898,2.393563,2.711274,1.860566,-1.157715,-0.986192,2.873152,0.680721,0.430924,-0.244582,-0.332122,0.877265,-0.224357,-0.112021,0.257148,-0.262428,0,0,-0,-0.786808,12.01.01,31
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,0.572816,0.891794,1.223595,1.045821,1.860566,1.361115,1.689427,0.981083,-0.519705,1.951192,-0.244582,-0.710905,1.74215,-0.224357,-0.629794,1.720815,-0.262428,0,0,-0,-0.786808,01.05.03@10.03.01@10.03.03@40.01,32
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.149978,-0.022453,0.087441,-0.060472,1.860566,3.133625,2.071658,-0.041142,-0.319634,3.886078,4.087519,-0.602681,1.309707,-0.224357,-0.422685,1.743333,3.809549,0,0,-0,-0.786808,01.07.01,33
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.097936,0.31,-0.047815,0.04174,1.75875,-0.038235,-0.986192,0.066795,-0.919847,-0.398314,-0.244582,-0.440346,0.877265,-0.224357,-0.733349,0.707507,-0.262428,0.405014,0,-0,-0.786808,11.02.03.01@11.02.03.04,34
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,0.722509,0.520775,0.564881,1.345326,0.817348,1.75875,2.480595,1.9761,0.8414,-0.419669,3.333253,4.087519,-0.440346,0.877265,-0.224357,-0.112021,1.236679,3.809549,0,0,-0,-0.786808,12.01.01,35
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.23093,-0.13327,-0.277751,-0.078509,1.75875,-2.090615,1.784984,-0.180825,-0.019528,1.812985,4.087519,-0.061562,0.552933,-0.224357,-0.215576,1.191643,3.809549,0,-4.267496,-0,-0.786808,16.01@34.11.03.07@41.01.01,36
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.063242,0.088365,0.114492,0.174014,1.75875,1.174535,1.880542,0.085842,-0.319634,1.260161,-0.244582,-0.54857,1.093486,-0.224357,-0.629794,1.945994,3.809549,0,0,-0,-0.786808,14.07.11@14.13.01.01,37
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,-0.018473,2.625549,3.989149,5.294814,2.687224,1.656933,1.920855,-0.22173,3.819186,-0.61974,3.195047,4.087519,-0.819129,1.958371,-0.224357,-0.52624,-0.317059,-0.262428,0,0,-0,-0.786808,12.01.01,38
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,1.1215,0.966015,1.573323,0.499973,0.883485,1.656933,-1.810745,-0.603961,1.069972,-0.119563,1.674779,-0.244582,-0.602681,1.201597,-0.224357,0.095088,-0.09188,-0.262428,0,0,-0,-0.786808,12.01.01@14.10,39
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,2.191873,3.252211,1.798435,1.610993,1.656933,-2.463775,-1.08175,2.384261,-0.019528,2.227604,4.087519,-0.54857,1.093486,-0.224357,-0.215576,0.380997,-0.262428,0,0,-0,-0.786808,12.01.01@16.03.03,40
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,-0.092154,-0.050157,-0.027527,0.077815,1.656933,1.547695,3.409467,-0.022095,0.180543,1.121954,-0.244582,-0.54857,1.093486,-0.224357,-0.31913,2.790418,3.809549,-3.986405,0,-0,-0.786808,14.04@14.13.01.01@16.01,41
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.167325,-0.06678,-0.135732,-0.048447,1.656933,0.894665,1.9761,-0.104635,0.880792,0.154511,-0.244582,-0.602681,1.201597,-0.224357,-0.112021,1.236679,3.809549,0,0,-0,-0.786808,12.04.01,42
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.132471,0.150704,0.974907,0.297089,0.486662,1.555117,-0.597975,-0.317288,0.523939,-0.519705,0.56913,-0.244582,-0.169786,0.444823,-0.224357,0.923526,-0.328318,-0.262428,0,0,-0,-0.786808,12.01.01,43
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,0.619074,1.152215,1.392666,1.382519,1.555117,1.174535,2.167216,1.196956,-0.319634,1.260161,-0.244582,-0.54857,0.985376,-0.224357,-0.215576,1.506894,3.809549,0,0,-0,-0.786808,14.13.01@14.13.04.02,44
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.05746,0.082824,0.06039,0.095852,1.555117,0.241635,-0.317288,0.054096,1.881146,-0.260107,-0.244582,0.154885,0.336712,-0.224357,1.02708,-0.328318,-0.262428,0,0,-0,-0.786808,20.01.03,45
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,0.26652,0.445604,0.93058,0.134781,0.534762,1.453301,1.267825,-0.412845,0.568383,0.380614,0.707336,-0.244582,-0.223898,0.444823,-0.224357,0.302198,-0.238246,-0.262428,0,0,-0,-0.786808,12.01.01,46
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.277189,-0.199761,-0.291277,-0.294958,1.453301,-0.038235,-0.126172,-0.276064,0.48065,-0.398314,-0.244582,-0.223898,0.444823,-0.224357,0.819971,-0.41839,-0.262428,-1.058792,-4.267496,-0.808186,-0.786808,11.04.01@11.06.01@16.03.03,47
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,2.180308,5.224767,4.956673,3.294483,1.453301,0.614795,-0.126172,4.130298,-0.219598,0.430924,-0.244582,-0.54857,0.877265,-0.224357,-0.733349,-0.41839,-0.262428,0,0,-0,-0.786808,12.01@14.01,48
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,-0.074807,0.12161,0.026576,0.216101,1.453301,0.614795,1.498311,0.079493,-0.61974,0.845542,-0.244582,-0.494458,0.769154,-0.224357,-0.215576,0.943946,-0.262428,0,0,-0,-0.786808,01.01.09.06.01@01.01.09.07.01@01.03.01.03@01.03.04.03@01.04@02.07,49
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,0.399345,0.398655,0.459396,0.252176,1.453301,1.640985,0.351617,0.403303,-0.119563,1.536573,-0.244582,0.100774,0.228601,-0.224357,-0.422685,0.054487,-0.262428,0,0,-0,-0.786808,10.03.01@12.04.01@43.01.03.09,50
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,0.33574,0.609208,0.716384,0.143952,1.453301,0.987955,-0.795077,0.479494,-0.219598,0.845542,-0.244582,-0.819129,1.74215,-0.224357,-0.008466,0.077005,-0.262428,0,0,-0,-0.786808,32.01,51
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,0.04084,0.127151,0.141544,0.005665,1.453301,0.708085,-0.986192,0.085842,-0.519705,0.845542,-0.244582,-0.494458,0.769154,-0.224357,-0.112021,0.257148,-0.262428,0,0,-0,-0.786808,12.04@12.07,52
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,-0.018473,-0.173107,-0.011371,0.01305,-0.126609,1.351485,1.640985,-0.126172,-0.079238,-0.319634,1.812985,-0.244582,-0.927353,2.282703,-0.224357,-0.629794,-0.41839,-0.262428,0,0,0.514708,-0.786808,14.07.07@16.01,53
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,0.173834,0.470686,0.533787,0.294263,1.351485,-0.038235,0.160502,0.390605,-0.819811,-0.398314,-0.244582,-0.602681,0.877265,-0.224357,-0.52624,-0.114398,-0.262428,0,0,-0,-0.786808,14.01@16.01@32.01.07,54
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,0.437516,-0.109501,0.049579,0.087441,0.246164,1.351485,1.267825,2.453889,0.073144,0.48065,0.56913,-0.244582,-0.27801,0.444823,-0.224357,-0.008466,1.484377,3.809549,0,0,-0,-0.786808,14.07.11@14.13.01.01@32.01@43.01.03.09,55
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,0.434039,0.952743,0.100967,0.576849,1.351485,-2.183905,0.064944,0.574732,0.180543,1.536573,4.087519,-0.656793,0.985376,-0.224357,-0.422685,-0.226988,-0.262428,0,0,-0,-0.786808,01.06.05@20.09.07.06@43.01.03.05,56
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,1.243568,2.18282,2.495006,1.923641,1.351485,0.801375,0.542733,2.0668,-0.319634,0.707336,-0.244582,0.100774,0.228601,-0.224357,-0.52624,0.302184,-0.262428,0,0,-0,-0.786808,16.01@32.01.03@40.01@42.04.03@43.01.03.05,57
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,-0.075472,1.064315,2.254852,1.203307,0.997722,1.249669,-0.504685,-0.412845,1.489021,-0.819811,0.707336,-0.244582,-0.710905,0.985376,-0.224357,-1.044013,0.144559,-0.262428,0,0,-0,-0.786808,12.01.01,58
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.011201,0.066201,-0.095155,0.258189,1.249669,0.241635,2.071658,0.066795,0.580685,-0.121901,-0.244582,-0.223898,0.336712,-0.224357,-0.008466,1.202902,3.809549,0,0,-0,-0.786808,12.10,59
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.103719,0.016333,0.114492,-0.198759,1.249669,2.387305,-2.037328,-0.047492,0.180543,1.812985,4.087519,-0.656793,0.877265,-0.224357,-0.629794,1.833405,3.809549,0,0,-0,-0.786808,20.01.01.01.01@20.09.18@34.01.01.01,60
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.242495,-0.177598,-0.216886,-0.258883,1.249669,0.708085,-0.126172,-0.231619,-0.219598,0.56913,-0.244582,-0.656793,0.877265,-0.224357,0.198643,-0.41839,-0.262428,0,-4.267496,0.514708,-0.786808,20.01.27@20.03.25@20.09.16@32.07.05,61
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.121066,0.021874,0.919268,0.216101,1.249669,5.559165,1.784984,0.250922,0.48065,4.024284,4.087519,-0.332122,0.444823,-0.224357,0.302198,0.763802,3.809549,0,0,-0,-0.786808,01.05@02.01@02.16,62
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.25406,-0.205302,-0.230411,-0.186734,1.249669,0.241635,2.453889,-0.22527,1.080862,-0.260107,-0.244582,-0.115674,0.336712,-0.224357,-0.31913,1.923477,3.809549,-3.986405,-4.267496,-0,-0.786808,01.04@01.05.02.04@01.05.02.07@01.05.25@02.01.03,63
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.265625,-0.172057,-0.196597,-0.144647,1.249669,0.055055,2.071658,-0.199873,1.080862,-0.398314,-0.244582,-0.00745,0.228601,-0.224357,-0.31913,1.574448,3.809549,0,0,-3.453974,-0.786808,01.04@16.19.03@42.01,64
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,2.546467,0.358869,0.625831,0.412057,0.306288,1.249669,-1.064425,-1.655097,0.460446,-0.119563,0.707336,-0.244582,-0.656793,0.877265,-0.224357,-0.215576,0.865133,-0.262428,0,0,-0,-0.786808,12.01.01,65
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.075472,-0.265625,-0.155434,-0.210123,-0.168696,1.249669,1.174535,1.020522,-0.206222,0.080508,0.845542,-0.244582,0.100774,0.228601,-0.224357,0.302198,0.290925,-0.262428,0,-4.267496,-0,-0.786808,01.05@16.19.03@20.01.03@20.01.27@20.03.22@20.03.25,66
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.016984,0.276755,-0.2507,0.252176,1.147852,-4.049706,1.880542,0.085842,1.080862,1.951192,4.087519,-0.765017,1.093486,-0.224357,-0.112021,1.157866,3.809549,0,0,-0,-0.786808,16.01@20.09.07.03,67
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.277189,-0.172057,-0.2507,-0.192746,1.147852,-0.038235,0.542733,-0.231619,-0.519705,-0.398314,-0.244582,-0.386234,0.444823,-0.224357,0.716416,-0.080621,-0.262428,0.405014,-4.267496,-0,-0.786808,01.01.06.05@01.02@01.05.13.03@01.07.01@12.01.01@16.21.07,68
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.103719,0.021874,-0.169546,0.222114,1.147852,-0.971135,2.453889,0.003302,0.680721,0.292717,-0.244582,-0.27801,0.336712,-0.224357,0.095088,1.371787,3.809549,0,0,-0,-0.786808,14.07.11@14.13.01.01,69
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,1.625203,2.736909,2.204204,1.671118,1.147852,0.801375,-2.515117,2.193785,0.080508,0.430924,-0.244582,-0.115674,0.228601,-0.224357,-0.52624,2.137397,3.809549,0,0,-0,-0.786808,12.01.01,70
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,2.330649,3.335324,1.467057,4.028004,1.147852,-2.183905,0.638291,3.006485,0.48065,1.260161,4.087519,-0.819129,1.201597,-0.224357,0.095088,0.110782,-0.262428,0,0,-0,-0.786808,10.03.01@32.01@40.10@42.16,71
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,0.011928,0.49285,-0.135732,0.426538,1.147852,-0.038235,2.071658,0.231874,-0.119563,-0.398314,-0.244582,0.208997,0.120491,-0.224357,-0.008466,1.202902,3.809549,0.405014,-4.267496,-0,-0.786808,01.01.06.05@01.05.13.01,72
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,2.001055,4.116589,3.935487,3.528969,1.147852,0.708085,1.211637,3.590614,-0.019528,0.430924,-0.244582,-0.440346,0.444823,-0.224357,0.819971,0.23463,-0.262428,0,0,-0,-0.786808,32.01.01@32.07.07,73
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,1.97648,0.70581,0.803139,0.817826,0.570837,1.147852,0.614795,-0.22173,0.771558,0.080508,0.292717,-0.244582,-0.27801,0.336712,-0.224357,0.612862,-0.362095,-0.262428,0,0,-0,-0.786808,12.01.01,74
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,1.064501,4.169435,3.468306,5.179846,3.955854,1.147852,0.987955,-0.317288,4.403315,0.080508,0.56913,-0.244582,-0.223898,0.336712,-0.224357,-0.422685,-0.226988,-0.262428,0,0,-0,-0.786808,12.01.01,75
-0.583935,-0.579016,-0.573686,1.750153,-0.028273,-0.018473,5.325904,8.078323,7.41834,5.236509,1.147852,-0.504685,-1.177308,6.904909,-0.219598,0.154511,-0.244582,-0.223898,0.336712,-0.224357,-0.52624,0.707507,-0.262428,0,0,-0,-0.786808,12.01.01@16.03.03,76
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.277189,-0.216384,-0.237174,-0.264896,1.046036,0.987955,1.307195,-0.257016,-0.219598,0.845542,-0.244582,-0.819129,1.093486,-0.224357,-0.112021,0.707507,-0.262428,0,0,-0,-0.786808,01.05.06.07@02.11@02.16@42.16,77
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.265625,-0.199761,-0.223649,-0.234834,1.046036,-0.038235,1.402753,-0.237968,0.180543,-0.398314,-0.244582,-0.00745,0.120491,-0.224357,-0.215576,0.865133,-0.262428,0.405014,0,-0,-0.786808,20.01.01.01.01@20.03.22@20.09.07@20.09.16@34.01.01,78
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,1.1215,0.462951,0.62029,1.196544,0.420525,1.046036,1.267825,-0.508403,0.701717,-0.019528,0.983748,-0.244582,-0.00745,0.120491,-0.224357,-0.112021,-0.114398,-0.262428,0,0,-0,-0.786808,12.01.01@14.10@43.01.03.05,79
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.271407,-0.183138,-0.216886,-0.198759,1.046036,1.081245,1.307195,-0.22527,-0.019528,0.845542,-0.244582,-0.819129,1.093486,-0.224357,0.095088,0.5724,-0.262428,-3.986405,0,-3.453974,-0.786808,01.01.09.06.01@01.01.09.07.01@01.03.01.03@01.03.04.03@01.04@02.07@40.01.05,80
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.005419,0.24351,-0.088392,0.01769,1.046036,-0.038235,-0.22173,0.054096,-0.019528,-0.398314,-0.244582,-0.710905,0.769154,-0.224357,0.198643,-0.350836,-0.262428,0.405014,0,-0,-0.786808,01.05.03.02.04@14.07.02.02,81
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.075472,-0.103719,-0.050157,-0.15602,-0.222809,1.046036,-0.038235,-0.126172,-0.14273,-0.119563,-0.398314,-0.244582,0.587781,0.01238,-0.224357,0.095088,-0.41839,-0.262428,0.405014,-4.267496,0.514708,-0.786808,18.01.07@30.05.02.24@34.11.03.07,82
