chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,classification,id
B,20.0,6.83,6.49,7.25,4.63,0.17,0.05,-0.09,6.3,0.14,0.4,0.0,0.16,1.1,0.0,0.18,0.5,0.0,?,?,?,?,?,?,?,0.0,20.01.01.01@20.01.15@20.03.22@34.01.01.03,29
B,21.0,2.45,3.98,4.11,3.06,0.17,0.12,0.02,3.4,0.19,0.6,0.0,0.2,0.9,0.0,0.28,0.07,0.0,?,?,?,?,?,?,?,0.0,01.01.11.02.01@42.16,30
C,29.0,2.86,8.27,4.07,5.08,0.17,-0.12,-0.09,5.07,0.21,0.6,0.0,0.16,1.1,0.0,0.15,0.6,0.0,?,?,?,?,?,?,?,0.0,12.01.01,31
D,21.0,1.57,2.13,2.34,2.31,0.17,0.15,0.19,2.09,0.09,1.7,0.0,0.09,1.9,0.0,0.1,1.9,0.0,?,?,?,?,?,?,?,0.0,01.05.03@10.03.01@10.03.03@40.01,32
D,20.0,0.32,0.48,0.66,0.47,0.17,0.34,0.23,0.48,0.11,3.1,1.0,0.11,1.5,0.0,0.12,1.92,1.0,?,?,?,?,?,?,?,0.0,01.07.01,33
B,21.0,0.41,1.08,0.46,0.64,0.16,0.0,-0.09,0.65,0.05,0.0,0.0,0.14,1.1,0.0,0.09,1.0,0.0,?,?,?,?,5.0,?,?,0.0,11.02.03.01@11.02.03.04,34
D,34.0,1.48,1.54,2.52,1.93,0.16,0.27,0.22,1.87,0.1,2.7,1.0,0.14,1.1,0.0,0.15,1.47,1.0,?,?,?,?,?,?,?,0.0,12.01.01,35
D,20.0,0.18,0.28,0.12,0.44,0.16,-0.22,0.2,0.26,0.14,1.6,1.0,0.21,0.8,0.0,0.14,1.43,1.0,?,?,?,?,?,2.0,?,0.0,16.01@34.11.03.07@41.01.01,36
D,20.0,0.47,0.68,0.7,0.86,0.16,0.13,0.21,0.68,0.11,1.2,0.0,0.12,1.3,0.0,0.1,2.1,1.0,?,?,?,?,?,?,?,0.0,14.07.11@14.13.01.01,37
A,21.0,5.12,7.72,8.36,5.04,0.15,0.21,-0.01,6.56,0.08,2.6,1.0,0.07,2.1,0.0,0.11,0.09,0.0,?,?,?,?,?,?,?,0.0,12.01.01,38
C,41.0,2.25,3.36,1.27,2.04,0.15,-0.19,-0.05,2.23,0.13,1.5,0.0,0.11,1.4,0.0,0.17,0.29,0.0,?,?,?,?,?,?,?,0.0,12.01.01@14.10,39
C,20.0,4.37,6.39,3.19,3.25,0.15,-0.26,-0.1,4.3,0.14,1.9,1.0,0.12,1.3,0.0,0.14,0.71,0.0,?,?,?,?,?,?,?,0.0,12.01.01@16.03.03,40
D,21.0,0.42,0.43,0.49,0.7,0.15,0.17,0.37,0.51,0.16,1.1,0.0,0.12,1.3,0.0,0.13,2.85,1.0,?,?,?,?,2.0,?,?,0.0,14.04@14.13.01.01@16.01,41
D,20.0,0.29,0.4,0.33,0.49,0.15,0.1,0.22,0.38,0.23,0.4,0.0,0.11,1.4,0.0,0.15,1.47,1.0,?,?,?,?,?,?,?,0.0,12.04.01,42
C,19.0,0.84,2.28,0.97,1.38,0.14,-0.06,-0.02,1.37,0.09,0.7,0.0,0.19,0.7,0.0,0.25,0.08,0.0,?,?,?,?,?,?,?,0.0,12.01.01,43
D,20.0,1.65,2.6,2.59,2.87,0.14,0.13,0.24,2.43,0.11,1.2,0.0,0.12,1.2,0.0,0.14,1.71,1.0,?,?,?,?,?,?,?,0.0,14.13.01@14.13.04.02,44
D,20.0,0.48,0.67,0.62,0.73,0.14,0.03,-0.02,0.63,0.33,0.1,0.0,0.25,0.6,0.0,0.26,0.08,0.0,?,?,?,?,?,?,?,0.0,20.01.03,45
B,26.0,1.35,2.2,0.73,1.46,0.13,0.14,-0.03,1.44,0.18,0.8,0.0,0.18,0.7,0.0,0.19,0.16,0.0,?,?,?,?,?,?,?,0.0,12.01.01,46
D,20.0,0.1,0.16,0.1,0.08,0.13,0.0,0.0,0.11,0.19,0.0,0.0,0.18,0.7,0.0,0.24,0.0,0.0,1.0,?,?,?,4.0,2.0,4.0,0.0,11.04.01@11.06.01@16.03.03,47
D,20.0,4.35,9.95,7.86,6.05,0.13,0.07,0.0,7.05,0.12,0.6,0.0,0.12,1.1,0.0,0.09,0.0,0.0,?,?,?,?,?,?,?,0.0,12.01@14.01,48
D,21.0,0.45,0.74,0.57,0.93,0.13,0.07,0.17,0.67,0.08,0.9,0.0,0.13,1.0,0.0,0.14,1.21,0.0,?,?,?,?,?,?,?,0.0,01.01.09.06.01@01.01.09.07.01@01.03.01.03@01.03.04.03@01.04@02.07,49
D,21.0,1.27,1.24,1.21,0.99,0.13,0.18,0.05,1.18,0.13,1.4,0.0,0.24,0.5,0.0,0.12,0.42,0.0,?,?,?,?,?,?,?,0.0,10.03.01@12.04.01@43.01.03.09,50
D,20.0,1.16,1.62,1.59,0.81,0.13,0.11,-0.07,1.3,0.12,0.9,0.0,0.07,1.9,0.0,0.16,0.44,0.0,?,?,?,?,?,?,?,0.0,32.01,51
D,20.0,0.65,0.75,0.74,0.58,0.13,0.08,-0.09,0.68,0.09,0.9,0.0,0.13,1.0,0.0,0.15,0.6,0.0,?,?,?,?,?,?,?,0.0,12.04@12.07,52
A,21.0,0.28,0.5,0.55,0.36,0.12,0.18,0.0,0.42,0.11,1.6,0.0,0.05,2.4,0.0,0.1,0.0,0.0,?,?,?,?,?,?,5.0,0.0,14.07.07@16.01,53
B,21.0,0.88,1.37,1.32,1.06,0.12,0.0,0.03,1.16,0.06,0.0,0.0,0.11,1.1,0.0,0.11,0.27,0.0,?,?,?,?,?,?,?,0.0,14.01@16.01@32.01.07,54
B,29.0,0.39,0.61,0.66,0.98,0.12,0.14,0.27,0.66,0.19,0.7,0.0,0.17,0.7,0.0,0.16,1.69,1.0,?,?,?,?,?,?,?,0.0,14.07.11@14.13.01.01@32.01@43.01.03.09,55
C,20.0,1.33,2.24,0.68,1.53,0.12,-0.23,0.02,1.45,0.16,1.4,1.0,0.1,1.2,0.0,0.12,0.17,0.0,?,?,?,?,?,?,?,0.0,01.06.05@20.09.07.06@43.01.03.05,56
D,21.0,2.73,4.46,4.22,3.77,0.12,0.09,0.07,3.8,0.11,0.8,0.0,0.24,0.5,0.0,0.11,0.64,0.0,?,?,?,?,?,?,?,0.0,16.01@32.01.03@40.01@42.04.03@43.01.03.05,57
A,20.0,2.42,4.59,2.31,2.23,0.11,-0.05,-0.03,2.89,0.06,0.8,0.0,0.09,1.2,0.0,0.06,0.5,0.0,?,?,?,?,?,?,?,0.0,12.01.01,58
B,20.0,0.56,0.64,0.39,1.0,0.11,0.03,0.23,0.65,0.2,0.2,0.0,0.18,0.6,0.0,0.16,1.44,1.0,?,?,?,?,?,?,?,0.0,12.10,59
B,20.0,0.4,0.55,0.7,0.24,0.11,0.26,-0.2,0.47,0.16,1.6,1.0,0.1,1.1,0.0,0.1,2.0,1.0,?,?,?,?,?,?,?,0.0,20.01.01.01.01@20.09.18@34.01.01.01,60
B,20.0,0.16,0.2,0.21,0.14,0.11,0.08,0.0,0.18,0.12,0.7,0.0,0.1,1.1,0.0,0.18,0.0,0.0,?,?,?,?,?,2.0,5.0,0.0,20.01.27@20.03.25@20.09.16@32.07.05,61
D,20.0,0.37,0.56,1.89,0.93,0.11,0.6,0.2,0.94,0.19,3.2,1.0,0.16,0.7,0.0,0.19,1.05,1.0,?,?,?,?,?,?,?,0.0,01.05@02.01@02.16,62
D,20.0,0.14,0.15,0.19,0.26,0.11,0.03,0.27,0.19,0.25,0.1,0.0,0.2,0.6,0.0,0.13,2.08,1.0,?,?,?,?,2.0,2.0,?,0.0,01.04@01.05.02.04@01.05.02.07@01.05.25@02.01.03,63
D,20.0,0.12,0.21,0.24,0.33,0.11,0.01,0.23,0.23,0.25,0.0,0.0,0.22,0.5,0.0,0.13,1.77,1.0,?,?,?,?,?,?,2.0,0.0,01.04@16.19.03@42.01,64
D,66.0,1.2,1.65,1.14,1.08,0.11,-0.11,-0.16,1.27,0.13,0.8,0.0,0.1,1.1,0.0,0.14,1.14,0.0,?,?,?,?,?,?,?,0.0,12.01.01,65
D,20.0,0.12,0.24,0.22,0.29,0.11,0.13,0.12,0.22,0.15,0.9,0.0,0.24,0.5,0.0,0.19,0.63,0.0,?,?,?,?,?,2.0,?,0.0,01.05@16.19.03@20.01.03@20.01.27@20.03.22@20.03.25,66
B,20.0,0.55,1.02,0.16,0.99,0.1,-0.43,0.21,0.68,0.25,1.7,1.0,0.08,1.3,0.0,0.15,1.4,1.0,?,?,?,?,?,?,?,0.0,16.01@20.09.07.03,67
B,21.0,0.1,0.21,0.16,0.25,0.1,0.0,0.07,0.18,0.09,0.0,0.0,0.15,0.7,0.0,0.23,0.3,0.0,?,?,?,?,5.0,2.0,?,0.0,01.01.06.05@01.02@01.05.13.03@01.07.01@12.01.01@16.21.07,68
B,20.0,0.4,0.56,0.28,0.94,0.1,-0.1,0.27,0.55,0.21,0.5,0.0,0.17,0.6,0.0,0.17,1.59,1.0,?,?,?,?,?,?,?,0.0,14.07.11@14.13.01.01,69
B,20.0,3.39,5.46,3.79,3.35,0.1,0.09,-0.25,4.0,0.15,0.6,0.0,0.2,0.5,0.0,0.11,2.27,1.0,?,?,?,?,?,?,?,0.0,12.01.01,70
C,21.0,4.61,6.54,2.7,7.27,0.1,-0.23,0.08,5.28,0.19,1.2,1.0,0.07,1.4,0.0,0.17,0.47,0.0,?,?,?,?,?,?,?,0.0,10.03.01@32.01@40.10@42.16,71
C,20.0,0.6,1.41,0.33,1.28,0.1,0.0,0.23,0.91,0.13,0.0,0.0,0.26,0.4,0.0,0.16,1.44,1.0,?,?,?,?,5.0,2.0,?,0.0,01.01.06.05@01.05.13.01,72
C,21.0,4.04,7.95,6.35,6.44,0.1,0.08,0.14,6.2,0.14,0.6,0.0,0.14,0.7,0.0,0.24,0.58,0.0,?,?,?,?,?,?,?,0.0,32.01.01@32.07.07,73
D,56.0,1.8,1.97,1.74,1.52,0.1,0.07,-0.01,1.76,0.15,0.5,0.0,0.17,0.6,0.0,0.22,0.05,0.0,?,?,?,?,?,?,?,0.0,12.01.01,74
D,40.0,7.79,6.78,8.19,7.15,0.1,0.11,-0.02,7.48,0.15,0.7,0.0,0.18,0.6,0.0,0.12,0.17,0.0,?,?,?,?,?,?,?,0.0,12.01.01,75
D,21.0,9.79,15.1,11.5,9.28,0.1,-0.05,-0.11,11.42,0.12,0.4,0.0,0.18,0.6,0.0,0.11,1.0,0.0,?,?,?,?,?,?,?,0.0,12.01.01@16.03.03,76
B,21.0,0.1,0.13,0.18,0.13,0.09,0.11,0.15,0.14,0.12,0.9,0.0,0.07,1.3,0.0,0.15,1.0,0.0,?,?,?,?,?,?,?,0.0,01.05.06.07@02.11@02.16@42.16,77
B,21.0,0.12,0.16,0.2,0.18,0.09,0.0,0.16,0.17,0.16,0.0,0.0,0.22,0.4,0.0,0.14,1.14,0.0,?,?,?,?,5.0,?,?,0.0,20.01.01.01.01@20.03.22@20.09.07@20.09.16@34.01.01,78
B,41.0,1.38,1.64,2.3,1.27,0.09,0.14,-0.04,1.65,0.14,1.0,0.0,0.22,0.4,0.0,0.15,0.27,0.0,?,?,?,?,?,?,?,0.0,12.01.01@14.10@43.01.03.05,79
B,20.0,0.11,0.19,0.21,0.24,0.09,0.12,0.15,0.19,0.14,0.9,0.0,0.07,1.3,0.0,0.17,0.88,0.0,?,?,?,?,2.0,?,2.0,0.0,01.01.09.06.01@01.01.09.07.01@01.03.01.03@01.03.04.03@01.04@02.07@40.01.05,80
B,20.0,0.57,0.96,0.4,0.6,0.09,0.0,-0.01,0.63,0.14,0.0,0.0,0.09,1.0,0.0,0.18,0.06,0.0,?,?,?,?,5.0,?,?,0.0,01.05.03.02.04@14.07.02.02,81
C,20.0,0.4,0.43,0.3,0.2,0.09,0.0,0.0,0.32,0.13,0.0,0.0,0.33,0.3,0.0,0.17,0.0,0.0,1.0,?,1.0,1.0,5.0,2.0,5.0,0.0,18.01.07@30.05.02.24@34.11.03.07,82
C,20.0,0.4,0.63,0.36,0.82,0.09,0.0,0.14,0.54,0.13,0.0,0.0,0.3,0.3,0.0,0.28,0.5,0.0,1.0,?,?,?,5.0,?,?,0.0,01.01.03.02.01@01.03.01,83
D,20.0,0.1,0.24,0.28,0.25,0.09,0.13,0.04,0.23,0.12,1.1,0.0,0.19,0.5,0.0,0.28,0.14,0.0,1.0,?,?,?,2.0,?,?,0.0,01.03.16.01@10.01.05@11.04.01@12.01,84
D,50.0,3.03,3.22,3.27,2.24,0.09,0.02,-0.2,2.94,0.13,0.2,0.0,0.18,0.5,0.0,0.12,1.67,1.0,?,?,?,?,?,?,?,0.0,12.01.01,85
B,20.0,0.17,0.26,0.2,0.27,0.08,0.0,0.05,0.23,0.05,0.0,0.0,0.06,1.3,0.0,0.16,0.31,0.0,?,?,?,?,5.0,?,2.0,0.0,12.07@16.19.03,86
C,55.0,1.33,2.85,1.27,2.5,0.08,0.0,0.1,1.99,0.18,0.0,0.0,0.17,0.5,0.0,0.17,0.59,0.0,?,?,?,?,5.0,?,2.0,0.0,12.01.01,87
C,20.0,1.59,2.25,1.25,2.25,0.08,0.0,0.07,1.84,0.17,0.0,0.0,0.11,0.7,0.0,0.17,0.41,0.0,?,?,?,?,5.0,?,2.0,0.0,20.09.07.03,88
D,21.0,0.54,0.58,2.43,0.87,0.08,0.45,0.07,1.11,0.22,2.0,1.0,0.18,0.4,0.0,0.14,0.5,0.0,?,?,?,?,?,?,?,0.0,02.11@02.13.03@14.10@20.01.15,89
D,20.0,0.29,0.24,0.35,0.6,0.08,0.09,0.27,0.37,0.18,0.5,0.0,0.19,0.4,0.0,0.17,1.59,1.0,?,?,?,?,?,?,?,0.0,20.01.10@20.01.21@20.09.01,90
D,20.0,0.35,0.54,0.56,0.94,0.08,0.05,0.13,0.6,0.15,0.3,0.0,0.2,0.4,0.0,0.17,0.76,0.0,?,?,?,?,?,2.0,?,0.0,14.04@20.01.10@20.03@20.09.04,91
D,20.0,0.16,0.26,0.29,0.36,0.08,0.01,0.23,0.27,0.27,0.0,0.0,0.14,0.6,0.0,0.26,0.88,0.0,?,?,?,?,2.0,2.0,2.0,0.0,16.07@20.09.14@40.01,92
D,20.0,0.52,0.58,0.8,0.69,0.08,0.12,0.04,0.65,0.11,1.1,0.0,0.2,0.4,0.0,0.06,0.67,0.0,?,?,?,?,?,?,?,0.0,14.04,93
D,21.0,0.1,0.15,0.17,0.11,0.08,0.03,-0.08,0.14,0.17,0.2,0.0,0.19,0.4,0.0,0.2,0.4,0.0,1.0,?,?,?,2.0,2.0,?,0.0,11.04.01@12.01.01,94
B,21.0,1.02,1.05,0.91,1.14,0.07,0.11,0.16,1.03,0.2,0.6,0.0,0.26,0.3,0.0,0.18,0.89,0.0,?,?,?,?,?,?,?,0.0,40.01.03@42.25,95
B,21.0,1.24,1.12,2.5,2.29,0.07,0.21,0.1,1.79,0.22,1.0,0.0,0.12,0.6,0.0,0.17,0.59,0.0,?,?,?,?,?,?,?,0.0,20.09.07.03@20.09.07.25@42.09,96
C,20.0,5.23,7.14,1.26,3.89,0.07,-0.3,0.0,4.38,0.3,1.0,1.0,0.09,0.8,0.0,0.19,0.0,0.0,?,?,?,?,?,2.0,5.0,0.0,12.01.01,97
D,21.0,0.25,0.33,0.26,0.46,0.07,-0.02,0.22,0.33,0.13,0.2,0.0,0.09,0.8,0.0,0.08,2.75,1.0,?,?,?,?,?,2.0,?,0.0,40.01@42.01@42.04@43.01.03.05,98
D,20.0,7.05,7.67,6.58,6.59,0.07,0.05,-0.12,6.97,0.13,0.4,0.0,0.18,0.4,0.0,0.11,1.09,0.0,?,?,?,?,?,?,?,0.0,12.01.01@32.01.09,99
D,20.0,0.1,0.17,0.17,0.15,0.07,0.08,0.02,0.15,0.26,0.3,0.0,0.13,0.5,0.0,0.22,0.09,0.0,1.0,?,?,?,?,?,2.0,0.0,01.01.09.03@12.10,100
D,21.0,1.35,1.63,1.3,1.36,0.07,0.07,0.12,1.41,0.07,1.0,0.0,0.17,0.4,0.0,0.13,0.92,0.0,?,?,?,?,?,?,2.0,0.0,11.02.01@11.02.02@11.02.03.01@16.03.01,101
D,20.0,0.1,0.21,0.14,0.25,0.07,0.0,0.11,0.18,0.31,0.0,0.0,0.18,0.4,0.0,0.26,0.42,0.0,1.0,?,?,?,4.0,2.0,?,0.0,20.09.18.09.01@40.01@42.04@43.01.03.05,102
D,20.0,0.1,0.16,0.11,0.13,0.07,0.0,0.06,0.13,0.14,0.0,0.0,0.12,0.6,0.0,0.25,0.24,0.0,1.0,?,?,?,4.0,2.0,2.0,0.0,01.05@14.07.02.02@42.01,103
D,21.0,0.99,1.06,0.93,0.67,0.07,-0.02,-0.03,0.91,0.15,0.1,0.0,0.18,0.4,0.0,0.14,0.21,0.0,?,?,?,?,?,?,?,0.0,11.04.01@12.01@12.04,104
D,20.0,0.33,0.31,0.6,0.47,0.07,0.18,0.0,0.43,0.12,1.5,0.0,0.14,0.5,0.0,0.11,0.0,0.0,?,?,?,?,?,?,4.0,0.0,12.10,105
A,20.0,2.24,1.79,2.23,0.92,0.06,0.11,-0.17,1.8,0.09,1.2,0.0,0.09,0.7,0.0,0.12,1.42,0.0,?,?,?,?,?,?,?,0.0,01.01.09@01.05.11.04@01.20.15,106
A,20.0,3.84,4.11,7.41,4.11,0.06,0.13,0.04,4.87,0.11,1.2,0.0,0.06,1.0,0.0,0.1,0.4,0.0,?,?,?,?,?,?,?,0.0,14.10@20.09.07.03@20.09.07.05,107
A,21.0,0.1,0.12,0.11,0.1,0.06,-0.05,0.0,0.1,0.05,1.0,0.0,0.21,0.3,0.0,0.02,0.0,0.0,1.0,?,?,1.0,?,?,5.0,0.0,10.03.01.01.11@10.03.04.07@14.07.05@14.10@14.13.01.01@16.01@16.19.03@20.09.01@42.10,108
B,20.0,1.33,1.02,1.42,0.9,0.06,0.07,-0.08,1.17,0.19,0.4,0.0,0.11,0.5,0.0,0.21,0.38,0.0,?,?,?,?,?,?,?,0.0,14.04@16.01@20.09.01,109
B,41.0,3.81,4.11,4.26,2.99,0.06,0.01,-0.17,3.79,0.17,0.1,0.0,0.17,0.4,0.0,0.16,1.06,0.0,?,?,?,?,?,?,?,0.0,12.01.01,110
B,21.0,0.11,0.15,0.51,0.43,0.06,0.35,0.32,0.3,0.23,1.5,1.0,0.07,0.9,0.0,0.22,1.45,1.0,?,?,?,?,2.0,2.0,2.0,0.0,14.01@32.01,111
B,20.0,0.94,1.16,1.05,0.87,0.06,0.0,-0.05,1.01,0.1,0.0,0.0,0.1,0.6,0.0,0.1,0.5,0.0,?,?,?,?,5.0,?,?,0.0,12@16.01@32.01.07,112
C,41.0,0.41,0.58,0.36,0.6,0.06,0.0,0.02,0.49,0.13,0.0,0.0,0.16,0.4,0.0,0.19,0.11,0.0,?,?,?,?,5.0,?,2.0,0.0,01.03.01,113
D,20.0,0.26,0.25,0.88,0.41,0.06,0.41,0.19,0.45,0.17,2.4,1.0,0.14,0.4,0.0,0.1,1.9,0.0,?,?,?,?,2.0,2.0,2.0,0.0,11.02.03.04@14.13.01@16.19@32.05.01.01@32.07,114
D,20.0,0.36,0.58,0.87,0.92,0.06,0.21,0.19,0.68,0.12,1.8,1.0,0.17,0.4,0.0,0.15,1.27,0.0,?,?,?,?,?,?,?,0.0,14.04@20.01.10@20.03@20.09.04,115
D,20.0,0.1,0.18,0.23,0.2,0.06,0.0,-0.01,0.18,0.22,0.0,0.0,0.17,0.4,0.0,0.21,0.05,0.0,1.0,?,?,?,4.0,2.0,?,0.0,01.03.16.01@01.05.25@11.02.03.04@11.04@43.01.03.09,116
D,20.0,0.19,0.24,0.21,0.48,0.06,0.07,0.33,0.28,0.1,0.7,0.0,0.17,0.4,0.0,0.17,1.94,1.0,?,?,?,?,2.0,?,?,0.0,01.03.01.03,117
