alpha_0,alpha_7,alpha_14,alpha_21,alpha_28,alpha_35,alpha_42,alpha_49,alpha_56,alpha_63,alpha_70,alpha_77,alpha_84,alpha_91,alpha_98,alpha_105,alpha_112,alpha_119,elu_0,elu_30,elu_60,elu_90,elu_120,elu_150,elu_180,elu_210,elu_240,elu_270,elu_300,elu_330,elu_360,elu_390,cdc15_10,cdc15_30,cdc15_50,cdc15_70,cdc15_90,cdc15_110,cdc15_130,cdc15_150,cdc15_170,cdc15_190,cdc15_210,cdc15_230,cdc15_250,cdc15_270,cdc15_290,spo_0,spo_2,spo_5,spo_7,spo_9,spo_11,spo5_2,spo5_7,spo5_11,spo__early,spo__mid,heat_0,heat_10,heat_20,heat_40,heat_80,heat_160,dtt_15,dtt_30,dtt_60,dtt_120,cold_0,cold_20,cold_40,cold_160,diau_540,diau_660,diau_780,diau_900,diau_1020,diau_1140,diau_1260,classification,id
-0.27,-0.23,-0.62,-0.54,-0.64,-0.45,0.16,-0.17,0.03,-0.42,-0.34,-0.67,-0.29,-0.81,-0.27,-0.71,-0.36,-0.36,-0.27,-0.15,-0.29,-0.23,-0.04,0.28,0.41,0.28,-0.2,0.03,0.32,0.24,-0.42,0.08,-0.36,-0.51,-0.64,0.15,0.41,0.29,0.18,0.21,0.01,0.26,0.42,-0.81,-0.12,-0.27,-0.15,-0.4,0.03,-0.04,0.58,0.36,0.74,-0.1,0.03,-0.12,-0.18,-0.74,0.07,-0.2,-0.36,-0.4,0.14,0.01,-0.06,-0.2,-0.25,-0.3,0.01,-0.04,-0.25,-0.34,-0.04,-0.000136,0.61,0.51,0.56,1.11,-1.03,01.06.02.01,10
-0.43,-0.42,-0.69,-0.4,-0.62,-0.3,-0.38,-0.74,-0.27,0.1,-0.32,-0.43,0.03,-0.79,-0.79,-0.51,-0.74,-0.38,-0.2,0.06,-0.12,-0.38,-0.1,-0.51,-0.03,0.31,0.18,0.2,-0.12,0.26,0.11,0.42,-0.3,-0.69,-0.22,-0.09,-0.89,-0.06,0.37,0.26,0.82,-0.17,0.07,0.49,-0.14,0.18,-0.09,-0.15,0.94,0.6,1.34,0.28,1.33,0.24,0.69,-0.1,0.32,-0.04,-0.12,0.5,0.21,-0.15,-0.166507,0.12,-0.45,-0.74,-0.36,-0.69,-0.18,0.57,-0.3,-0.34,-0.2,-0.2,0.144266,0.31,0.01,0.46,0.21,16.01@20.09.03@42.19,11
-0.32,0.33,-0.22,0.03,-0.34,0.26,-0.04,0.07,-0.23,0.26,0.19,0.1,-0.2,-0.03,-0.34,0.15,0.03,-0.03,0.57,-0.03,0.4,-0.86,0.12,0.03,0.11,-0.23,-0.18,-0.23,-0.096529,-0.15,-0.27,-0.15,-0.15,0.2,0.07,-0.03,-0.43,-0.47,-0.36,-0.03,0.34,0.04,-0.6,0.34,-0.25,-0.32,-0.25,-0.191583,0.24,-0.251584,0.76,0.82,0.37,-0.23,0.37,-0.25,0.46,1.4,-0.3,-0.3,-0.3,-0.92,-0.42,-0.06,0.37,0.03,-0.09,-0.14,-0.27,-0.17,-0.54,-0.06,-0.23,-0.43,0.14,0.11,-0.43,0.49,-0.45,01.04@01.05.25@11.04.02@14.07.03@32.01.03@34.11.03.13@40.01@42.16@43.01.03.05,12
-0.45,-0.34,-0.25,0.15,0.18,0.2,0.03,-0.36,0.04,0.31,0.03,0.24,0.03,-0.03,-0.04,0.1,-0.23,-0.3,-0.74,0.38,-0.18,-0.15,-0.06,0.07,0.14,0.55,0.26,0.23,0.04,0.07,0.14,0.15,-0.29,-0.2,0.08,-0.1,-0.45,-0.17,-0.38,-0.09,0.41,-0.42,-0.43,0.15,-0.43,-0.36,-0.38,-0.12,0.42,0.18,0.91,0.72,1.01,0.59,0.57,0.01,0.6,-0.25,-0.3,-0.81,-0.01,-0.29,-0.27,-0.69,-0.12,-0.54,0.11,-0.09,0.06,0.11,-0.79,-0.71,0.01,-0.18,0.144266,-0.25,-0.43,-0.45,0.06,01.04@16.19.03@20.01.09@20.03.22@20.03.25,13
-0.07,-0.34,-0.18,-0.03,-0.1,0.08,-0.01407,0.01,0.08,-0.3,0.03,-0.23,0.06,-0.23,-0.04,-0.18,-0.22,-0.23,0.04,0.07,0.12,0.14,-0.01,0.08,0.3,0.45,0.26,0.31,0.29,0.15,0.15,0.08,-0.56,-0.51,-0.38,0.16,0.16,0.1,0.07,0.19,0.25,0.06,0.33,-0.69,-0.07,-0.29,-0.06,0.08,0.98,0.32,0.23,0.38,0.38,0.36,0.06,-0.18,0.5,0.1,0.31,-0.22,-0.36,-0.54,-0.18,-0.06,0.34,-0.47,0.07,-0.34,0.14,0.07,-0.09,0.1,0.11,0.23,0.9,0.29,0.26,0.28,-0.4,20.01.01.01@20.01.15@20.03.22@34.01.01.03,14
0.07,0.1,-0.04,-0.04,-0.25,-0.12,-0.03,0.04,0.39,-0.22,0.24,0.07,-0.03,-0.29,0.08,0.42,-0.36,-0.2,-0.03,-0.2,0.06,0.16,-0.07,0.01,0.26,0.14,0.18,0.14,0.08,0.33,0.21,0.06,0.19,0.23,-0.18,-0.09,-1.64,0.23,-0.01,0.49,1,-0.18,0.06,0.42,0.3,0.08,0.2,0.06,0.14,0.53,0.94,1.12,0.73,-0.38,0.39,0.03,-0.32,0.03,-0.065313,0.25,-0.09,0.26,-0.15,0.12,-0.07,-0.23,-0.06,-0.23,-0.092018,0.3,0.21,0.4,-0.2,-0.51,-0.04,-0.49,-0.51,0.44,0.38,12.01.01@42.16,15
0.03,-0.1,0.04,-0.3,-0.2,-0.51,-0.07,-0.04,-0.04,0.03,0.24,0.21,-0.04,-0.22,0.15,0.25,-0.18,0.16,0.4,-0.1,-0.22,-0.07,-0.74,-0.69,-0.71,-0.25,-0.1,-0.17,-0.58,0.32,0.14,-0.12,-0.04,0.33,0.08,-0.74,-0.43,0.26,-1.94,0.52,1.01,-0.188172,-0.84,0.03,-1.29,-0.18,-0.94,0.29,0.03,0.1,0.6,0.83,0.81,0.14,0.68,0.54,-0.03,-0.06,-0.29,0.03,0.24,-0.51,-0.58,-0.76,0.66,0.23,0.38,0.14,-0.22,0.26,-0.58,-0.32,0.07,-0.03,0.24,0.14,0.11,1.55,0.85,16.01@20.01.10@20.09.07.03@20.09.16@20.09.18@42.25,16
0.01,-0.01,-0.2,-0.45,0.01,-0.6,-0.01407,0.31,-0.1,0.34,-0.32,0.32,-0.048787,-0.06,-0.25,0.57,-0.29,0.15,-0.6,-0.47,0.11,0.21,-0.06,-0.14,0.19,-0.01,0.43,0.83,-0.07,0.29,-0.56,0.42,-0.34,-0.36,-0.29,-0.27,-0.56,-0.29,-0.3,-0.43,-0.89,-0.188172,-0.49,0.33,-0.42,-0.47,-0.51,0.28,-0.15,0.61,0.77,1.32,1.47,-0.62,0.43,-0.250609,-0.01,0.21,0.98,1.56,0.93,0.38,0.2,0.25,-0.32,-0.36,-0.2,-0.51,0.48,0.56,1.01,-0.6,0.19,0.6,0.46,0.78,0.73,1.52,0.75,01.04@11.04.01@16.19.03@20.01.01.01@20.01.10@20.01.13@20.03.22@20.09.07.06,17
-0.01,0.06,-0.100853,-0.04,-0.2,-0.23,-0.01407,-0.09,-0.23,0.08,-0.2,0.2,-0.12,-0.3,-0.09,-0.078308,0.15,-0.03,0.18,0.12,0.1,-0.23,-0.12,-0.1,-0.32,-0.04,-0.06,-0.04,0.12,-0.04,-0.81,-0.06,-0.18,-0.12,-0.54,-0.1,-1.36,-0.97,0.07,0.4,0.29,-0.89,-0.43,-0.03,-0.69,-0.3,-0.76,-0.09,0.15,-0.06,0.81,1.05,1.32,0.37,0.32,0.9,0.19,0.1,0.23,0.8,0.33,-0.49,0.07,-0.15,-0.1,-0.84,0.04,-0.07,-0.06,0.01,0.18,0.26,0.12,0.39,0.52,0.39,-0.01,0.08,-0.325852,14.04@14.13.04@16.01@20.09.13@42.25,18
0.06,-0.23,0.4,0.3,0.32,0.24,0.21,0.21,-0.03,-0.27,-0.06,-0.23,-0.01,-0.23,0.21,-0.29,0.18,-0.15,0.82,0.12,0.11,0.3,-0.17,-0.58,-0.4,-0.2,-0.14,-0.43,-0.62,-0.1,0.3,-0.09,-0.58,-1.06,-0.74,-0.32,-0.4,-0.25,-0.51,-0.34,-0.22,-0.42,-0.32,-0.25,-0.51,-0.58,-0.14,-0.04,0.24,0.41,0.25,0.56,1.28,-0.32,0.15,0.41,-0.06,-0.34,0.04,0.9,0.33,0.14,0.39,-0.03,0.04,-0.43,-0.03,-0.352554,0.08,0.03,-0.56,-0.38,0.23,0.16,0.34,-0.6,-0.07,1.74,1.43,01.05@02.07@16.21.07,19
0.15,-0.01,-0.2,-0.03,-0.18,-0.04,-0.12,-0.22,-0.040729,-0.32,-0.049362,-0.25,-0.03,-0.18,-0.29,0.01,0.01,-0.29,1.63,0.21,0.18,-0.25,-0.45,-0.36,-0.45,-0.74,-0.47,-0.62,-0.74,-0.54,-0.4,-0.32,0.24,0.03,-0.03,-0.47,-1.89,0.11,-0.22,-0.69,-0.06,-0.27,-0.45,-0.18,-0.45,-0.42,-0.38,-0.15,0.72,0.58,0.67,1.25,1.14,-0.12,-0.01,0.77,0.11,0.57,-0.01,0.25,0.36,0.2,0.01,0.32,-0.23,-0.58,-0.42,-0.69,-0.36,0.38,-0.2,-0.1,0.03,-0.17,-0.17,-0.17,-0.01,2.05,1.37,16.17.09@32.07@34.01.01.01@34.11.03,20
0.04,0.37,0.14,0.16,-0.4,-0.25,-0.1,-0.56,-0.17,-0.25,-0.18,-0.18,-0.03,-0.58,-0.36,-0.47,-0.49,-0.27,0.28,0.07,-0.2,-0.29,-0.81,-0.56,-0.42,-0.27,-0.1,0.06,-0.18,0.25,0.06,-0.06,-0.18,-0.34,-0.54,-0.47,-0.76,0.08,-0.34,0.04,0.24,-0.94,-0.62,0.01,-0.25,-0.2,0.25,-0.03,0.52,0.21,0.21,0.38,0.58,0.44,-0.22,0.33,0.01,0.14,0.12,0.72,0.98,0.18,0.08,0.14,-0.25,-0.14,0.16,0.14,-0.04,0.99,-0.059751,-0.2,0.06,0.44,0.46,-0.03,-0.25,0.97,0.48,14.07,21
-0.06,0.2,0.04,-0.22,-0.3,-0.54,-0.17,-0.67,-0.34,0.08,-0.25,-0.15,-0.17,-0.67,-0.47,-0.45,-0.36,-0.36,0.87,-0.01,0.15,-0.27,-0.42,-0.71,-0.2,0.08,0.12,-0.03,-0.15,0.29,0.42,0.44,-0.49,-0.25,-0.43,-0.32,-0.34,-0.14,-0.1,0.03,-0.32,-0.1,-0.01,0.03,0.5,0.57,0.82,-0.12,0.39,0.42,1.32,1.18,1.37,-0.09,0.68,0.77,0.43,0.24,0.15,1.67,0.91,0.59,0.62,0.26,-0.07,-0.1,0.41,0.16,-0.1,0.19,0.28,-0.06,-0.56,0.16,0.03,-0.3,-0.1,0.8,0.3,01.07.01@01.20,22
-0.18,-0.29,0.21,-0.17,0.03,-0.45,0.07,-0.38,-0.23,-0.07,-0.1,-0.12,-0.03,-0.47,-0.25,-0.56,-0.15,-0.51,0.29,0.28,-0.22,-0.25,-0.15,-0.71,-0.3,-0.22,0.23,-0.27,-0.15,0.46,0.88,0.1,-0.27,-0.4,-0.09,0.2,0.41,0.4,0.42,-1.12,0.12,-0.12,0.08,-0.14,-0.03,0.01,0.1,-0.54,1.08,1.63,2.83,2.45,1.14,-0.51,0.78,-0.250609,1.32,1.42,0.4,1.82,0.99,0.53,0.89,0.46,1.52,1.53,0.12,0.04,0.28,-0.29,-0.49,-1.43,-0.07,0.32,0.76,0.08,0.44,1.26,0.51,20.01.15@32.01.01@32.07.07.05@42.16,23
-0.25,0.3,0.12,0.32,-0.22,0.28,-0.14,0.23,0.49,-0.04,0.03,0.04,0.01,-0.1,-0.34,0.3,0.1,0.21,0.29,-0.04,0.26,0.21,0.1,0.11,0.26,0.19,-0.23,-0.028997,0.32,-0.04,-0.09,0.07,-0.160165,-0.066026,0.08,-0.1,0.2,0.54,-0.07,0.7,0.65,0.86,0.76,1.51,1.34,0.99,1.58,0.16,0.08,0.63,1.27,1.43,1.34,-0.47,0.75,0.31,0.07,0.5,-0.03,-0.27,-0.03,-0.43,-0.51,-0.03,0.21,0.67,0.04,-0.1,-0.07,0.32,-0.1,0.1,-0.12,0.25,0.28,0.2,0.07,0.95,0.06,12.01.01@42.16,24
0.1,0.56,0.39,-0.58,-0.29,-0.34,-0.2,-0.42,-0.29,-0.27,-0.25,-0.49,-0.25,-0.92,-0.3,-0.67,-0.09,-0.67,1.51,0.04,-0.12,-0.67,-0.71,-0.62,-0.79,-0.42,-0.3,-0.69,-0.06,0.01,0.23,-0.1,-0.1,-0.32,-0.25,-0.17,-0.12,-0.32,0.01,-0.04,-0.01,-0.06,0.15,-0.17,0.95,1.06,1.45,-0.15,-0.29,0.18,1.82,1.8,1.77,-0.23,1.53,0.83,-0.49,-0.81,-0.29,1.06,0.67,-0.38,-0.25,-0.07,0.23,1.04,0.7,0.93,-0.3,0.99,0.19,-0.4,-0.06,0.23,0.23,0.5,1.02,2.48,1.14,12.01.01,25
0.11,-0.2,-0.01,-0.09,-0.27,0.34,0.06,-0.03,-0.1,-0.22,-0.15,-0.4,-0.27,-0.29,0.08,-0.23,0.16,0.01,1.21,-0.04,-0.32,-0.2,0.04,-0.34,-0.18,-0.03,-0.04,-0.4,-0.2,-0.06,0.07,-0.15,0.46,0.3,0.34,0.36,0.25,0.2,0.43,0.23,0.4,0.51,0.36,0.15,0.95,0.69,1.01,-0.32,-0.81,-0.76,0.85,0.94,0.9,0.25,1.4,1.61,-0.58,-0.04,-0.22,-0.15,-0.27,-0.38,-0.49,-0.58,0.1,0.28,-0.25,0.21,-0.06,-0.15,-0.79,-0.12,0.06,0.07,0.07,-0.34,0.25,1.73,0.72,14.04@20.09.13@20.09.18.09.01,26
-0.69,-0.29,-0.2,-0.04,-0.36,0.21,0.65,-0.082162,-0.51,0.08,-0.06,0.36,-0.32,-0.4,-0.43,-0.06,-0.36,-0.34,-0.1,-0.36,0.33,0.04,-0.06,-0.12,-0.23,0.19,-0.14,0.1,0.01,-0.01,-0.03,0.04,0.21,0.25,0.06,-0.27,-0.54,-0.38,-0.18,0.01,0.39,-0.67,-0.18,-0.22,-0.94,-0.04,-0.32,0.01,0.06,0.4,-0.286889,0.19,0.85,-0.15,0.45,0.52,0.73,0.56,-0.47,-0.23,-0.38,-0.01,-0.03,0.43,-0.09,0.1,-0.17,-0.1,-0.4,0.43,-0.14,0.18,0.11,-0.25,-0.27,-0.38,-0.42,-0.25,-0.38,11.02.01@11.02.02@11.02.03.01,27
-0.29,1.1,-0.2,-0.06,-0.42,0.44,0.32,0.7,0.42,0.06,0.03,-0.14,-0.18,-0.3,-0.29,0.1,0.18,0.29,-0.25,0.61,0.1,-0.43,0.23,0.14,0.32,-0.34,-0.34,-0.12,0.31,-0.25,-0.58,-0.3,-0.49,-0.12,0.4,0.81,0.51,-0.17,-0.1,0.3,0.71,0.19,0.12,0.11,0.19,0.07,0.23,0.29,0.69,0.11,0.9,0.88,1.07,0.45,0.49,0.58,0.75,0.54,-0.58,-0.69,-0.34,-0.56,-0.36,-0.12,-0.62,-0.56,-0.89,-0.54,-0.38,0.15,-0.03,-0.23,-0.04,-0.03,0.18,-0.42,-0.51,0.1,-0.74,01.01@32.01.01@32.07.07,28
-0.14,0.25,-0.100853,0.2,-0.01,0.23,-0.23,0.19,0.19,-0.18,0.19,0.25,0.26,-0.07,0.01,0.19,0.12,0.04,0.5,0.08,0.16,0.24,0.4,0.32,0.18,-0.17,-0.38,-0.3,0.3,-0.32,-0.23,-0.09,0.16,0.28,0.15,-0.1,-0.22,-0.09,0.16,0.25,0.4,-0.17,-0.14,0.63,0.33,-0.03,0.44,0.15,0.67,0.82,0.58,0.89,1,-0.01,0.04,0.1,1.05,0.76,-0.27,-0.62,-0.38,-0.3,-1.22,-0.12,-0.23,0.63,-0.89,-0.56,0.48,0.58,0.72,0.61,0.3,0.11,0.15,-0.23,-0.47,0.03,-0.51,11.04.01@11.04.03.01,29
-0.32,-1.18,-0.67,-0.4,-0.49,0.07,-0.25,-0.49,-0.17,-0.15,-0.58,-0.22,-0.36,-0.71,-0.86,-0.49,-0.42,-0.14,-0.29,-0.04,-0.22,0.06,0.16,-0.12,-0.58,-0.14,-0.3,-0.32,-0.03,-0.12,-0.67,-0.065573,-0.17,-0.47,-0.03,-0.03,-0.54,-0.03,-1.25,-0.09,-0.04,-0.15,-0.43,0.75,-0.3,-0.12,-0.22,-0.09,-0.03,0.11,0.98,0.68,0.9,-0.23,0.56,-0.34,0.41,0.62,-0.01,-0.22,0.29,0.08,-0.23,0.34,-0.71,0.08,-0.6,0.04,-0.32,0.53,0.2,0.06,-0.09,-0.22,-0.04,0.06,0.18,0.26,-0.38,11.04.03.05@14.10,30
-0.45,0.07,-0.03,0.26,-0.32,0.54,-0.36,0.01,-0.040729,0.37,0.16,0.12,-0.06,0.01,-0.1,0.32,0.08,0.14,0.28,0.11,-0.22,0.46,0.14,0.33,0.15,0.1,0.11,0.32,0.25,-0.12,-0.04,0.23,-1.18,-0.38,0.04,0.03,-0.92,0.12,-0.32,1.43,-0.4,-0.89,-0.64,0.36,-0.56,-0.43,-1.43,0.21,0.78,0.96,1.06,0.78,1.16,-0.09,0.32,0.04,1.17,1.48,-0.25,-0.17,-0.23,-0.07,-0.27,0.44,-0.04,-0.12,0.16,0.26,-0.27,0.126945,0.21,0.91,-0.14,0.24,0.06,-0.38,-0.67,0.06,-0.45,01.03.16.01@11.02.03.04.03@11.04@34.11.03.07@41.01.01,31
0.1,-0.25,0.01,-0.09,0.03,0.01,-0.17,0.18,0.41,-0.03,0.45,0.4,-0.6,-0.1,0.07,0.4,-0.14,-0.15,-0.79,-0.29,-0.23,0.34,-0.04,0.1,0.07,0.00995,-0.25,-0.14,-0.06,-0.43,-0.4,-0.1,0.14,0.19,-0.25,-0.18,-0.84,-0.54,-0.29,0.36,0.36,-1.03,-0.81,0.46,-0.86,0.06,-0.92,0.14,-0.43,0.2,0.88,0.75,0.73,-0.84,0.63,0.3,-0.23,-0.01,-0.09,-0.32,-0.04,0.21,-0.12,0.06,-0.43,-0.3,-0.27,-0.36,-0.09,-0.01,-0.07,0.62,0.32,0.16,0.24,-0.49,-0.42,-0.22,-0.34,11.06.02,32
